Financial Instrument,Volume ($),Change %,Sector,Volume/Min,Average Volume ($),Average Volume,Industry,Category,Bid,Imbalance,Ask,
AAP,41240320.00,-0.02738489316882342,"Consumer, Cyclical",800.0,172459520.00,1067200.0,Retail,Retail-Auto Parts,161.51,,161.71,
ABG,4569732.0,-0.028459101044478477,"Consumer, Cyclical",400.0,35680335.00,215500.0,Retail,Retail-Automobile,165.55,,166.50,
AEO,33927106.00,-0.02134032197678773,"Consumer, Cyclical",8200.0,122787422.00,4697300.0,Retail,Retail-Apparel/Shoe,26.15,,26.16,
AN,32462584.00,-0.015641025641025628,"Consumer, Cyclical",2800.0,49968424.00,650800.0,Retail,Retail-Automobile,76.75,,76.83,
ANF,9691016.0,-0.02356665494196265,"Consumer, Cyclical",3000.0,41701072.00,1502200.0,Retail,Retail-Apparel/Shoe,27.76,,27.81,
ARCO,1029420.0,-0.039711191335740026,"Consumer, Cyclical",1800.0,4545940.0,854500.0,Retail,Retail-Restaurants,5.32,,5.33,
ARKO,664815.0,-0.009453781512605028,"Consumer, Cyclical",3000.0,4707456.0,499200.0,Retail,Retail-Convenience Store,9.43,,9.46,
ARKR,254760.0,-0.019807008633824303,"Consumer, Cyclical",800.0,1013250.0,52500.0,Retail,Retail-Restaurants,19.26,,19.33,
ASPN,1324099.0,-0.0555325321176958,"Consumer, Cyclical",1060.6601717798214,5886657.0,258300.0,Retail,Retail-Building Products,22.56,,22.74,
AZO,79820598.00,-0.01636326962835966,"Consumer, Cyclical",707.1067811865478,309099999.00,264100.0,Retail,Retail-Auto Parts,1169.40,,1172.14,
BBBY,95941494.00,-0.01132213294375452,"Consumer, Cyclical",20081.83258569795,385877436.00,14254800.00,Retail,Retail-Bedding,27.01,,27.07,
BBQ,24395.0,-0.03409090909090908,"Consumer, Cyclical",0.0,96985.0,16300.0,Retail,Retail-Restaurants,5.91,,6.16,
BBW,748911.0,-0.024626865671641796,"Consumer, Cyclical",169.7056274847714,3043349.0,465700.0,Retail,Retail-Toy Store,6.52,,6.57,
BBY,637688602.00,-0.09404195311122863,"Consumer, Cyclical",47376.15433949869,298060163.00,2899700.0,Retail,Retail-Consumer Electron,102.67,,102.80,
BECN,5791058.0,-0.032659726474790804,"Consumer, Cyclical",1414.2135623730953,19742674.00,416600.0,Retail,Retail-Building Products,47.27,,47.39,
BFI,4140720.0,-0.056921086675291124,"Consumer, Cyclical",1016.4659979556623,6973614.0,478300.0,Retail,Retail-Restaurants,14.57,,14.64,
BGFV,4620801.0,-0.0027081922816520596,"Consumer, Cyclical",3400.0,13872714.00,941800.0,Retail,Retail-Sporting Goods,14.66,,14.75,
BH,,,"Consumer, Cyclical",0.0,,6250.0,Retail,Retail-Restaurants,122.01,,125.81,
BIG,17644256.00,-0.011969532100108753,"Consumer, Cyclical",1000.0000000000001,101956596.00,1604100.0,Retail,Retail-Discount,63.40,,63.57,
BIMI,1060696.0,-0.050505050505050546,"Consumer, Cyclical",11313.708498984764,2752320.0,1464000.0,Retail,Retail-Drug Store,1.87,,1.88,
BJ,22036960.00,-0.017164354573242342,"Consumer, Cyclical",3535.533905932738,92963200.00,2224000.0,Retail,Retail-Discount,41.78,,41.82,
BJRI,6429605.0,-0.013790600616947887,"Consumer, Cyclical",1400.0,18103985.00,333100.0,Retail,Retail-Restaurants,54.23,,54.47,
BKE,5753792.0,-0.01775748351090824,"Consumer, Cyclical",600.0000000000001,19905952.00,514100.0,Retail,Retail-Apparel/Shoe,38.71,,38.86,
BLMN,19871880.00,-0.07204828366654092,"Consumer, Cyclical",17600.0,50680920.00,2060200.0,Retail,Retail-Restaurants,24.59,,24.62,
BNED,936341.0,-0.03551136363636364,"Consumer, Cyclical",671.7514421272203,4379550.0,645000.0,Retail,Retail-Bookstore,6.79,,6.80,
BOOT,13912218.00,-0.019688644688644567,"Consumer, Cyclical",200.0,38871996.00,605200.0,Retail,Retail-Apparel/Shoe,64.11,,64.27,
BSET,398200.0,-0.011235955056179775,"Consumer, Cyclical",0.0,1918400.0,87200.0,Retail,Retail-Home Furnishings,21.68,,22.29,
BURL,35561979.00,-0.01646701034751325,"Consumer, Cyclical",200.0,136811521.00,515900.0,Retail,Retail-Apparel/Shoe,264.63,,265.17,
BWMX,1203606.0,-0.008275862068965504,"Consumer, Cyclical",0.0,2735076.0,63400.0,Retail,Retail-Building Products,42.68,,43.22,
BXC,1839629.0,-0.02532855436081248,"Consumer, Cyclical",282.842712474619,5347569.0,131100.0,Retail,Retail-Building Products,40.73,,41.03,
CAKE,12309990.00,-0.040165706051873265,"Consumer, Cyclical",5800.0,59050649.00,1108100.0,Retail,Retail-Restaurants,53.25,,53.33,
CAL,1136485.0,-0.02676537585421406,"Consumer, Cyclical",1400.0,8456132.0,494800.0,Retail,Retail-Apparel/Shoe,17.06,,17.12,
CASY,8518705.0,-0.005330232107379921,"Consumer, Cyclical",400.0,56264507.00,274100.0,Retail,Retail-Convenience Store,205.23,,205.54,
CATO,605626.0,-0.00078864,"Consumer, Cyclical",0.0,2636627.0,208100.0,Retail,Retail-Apparel/Shoe,12.65,NoMD,12.70,
