Symbol,Date,Close,Open,Bid,Ask,Last,Volume,AvgVolume,VolumeFirstMinute
AAPL,2021-03-04 14:30:00,0,0,121.81,121.81,121.81,20028,,20028
AAPL,2021-03-04 14:31:00,0,0,122.05,122.05,122.05,4928,,20028
AAPL,2021-03-04 14:32:00,0,0,122.47,122.47,122.47,5963,,20028
AAPL,2021-03-04 14:33:00,0,0,122.71,122.71,122.71,6379,,20028
AAPL,2021-03-04 14:34:00,0,0,122.78,122.78,122.78,4567,,20028
AAPL,2021-03-04 14:35:00,0,0,123.25,123.25,123.25,9939,,20028
AAPL,2021-03-04 14:36:00,0,0,123.03,123.03,123.03,4780,,20028
AAPL,2021-03-04 14:37:00,0,0,122.75,122.75,122.75,5316,,20028
AAPL,2021-03-04 14:38:00,0,0,122.82,122.82,122.82,3529,,20028
AAPL,2021-03-04 14:39:00,0,0,122.64,122.64,122.64,3852,,20028
AAPL,2021-03-04 14:40:00,0,0,122.71,122.71,122.71,3272,,20028
AAPL,2021-03-04 14:41:00,0,0,122.64,122.64,122.64,2900,,20028
AAPL,2021-03-04 14:42:00,0,0,122.57,122.57,122.57,3014,,20028
AAPL,2021-03-04 14:43:00,0,0,122.51,122.51,122.51,4713,,20028
AAPL,2021-03-04 14:44:00,0,0,122.2,122.2,122.2,3950,,20028
AAPL,2021-03-04 14:45:00,0,0,122.14,122.14,122.14,4457,,20028
AAPL,2021-03-04 14:46:00,0,0,122.05,122.05,122.05,4220,,20028
AAPL,2021-03-04 14:47:00,0,0,121.78,121.78,121.78,6096,,20028
AAPL,2021-03-04 14:48:00,0,0,121.21,121.21,121.21,8910,,20028
AAPL,2021-03-04 14:49:00,0,0,121.0,121.0,121.0,5240,,20028
AAPL,2021-03-04 14:50:00,0,0,120.95,120.95,120.95,6298,,20028
AAPL,2021-03-04 14:51:00,0,0,121.19,121.19,121.19,5372,,20028
AAPL,2021-03-04 14:52:00,0,0,121.38,121.38,121.38,3822,,20028
AAPL,2021-03-04 14:53:00,0,0,121.26,121.26,121.26,3684,,20028
AAPL,2021-03-04 14:54:00,0,0,121.24,121.24,121.24,4692,,20028
AAPL,2021-03-04 14:55:00,0,0,121.08,121.08,121.08,3011,,20028
AAPL,2021-03-04 14:56:00,0,0,120.96,120.96,120.96,4549,,20028
AAPL,2021-03-04 14:57:00,0,0,120.79,120.79,120.79,6894,,20028
AAPL,2021-03-04 14:58:00,0,0,121.01,121.01,121.01,3847,,20028
AAPL,2021-03-04 14:59:00,0,0,120.92,120.92,120.92,3384,,20028
AAPL,2021-03-04 15:00:00,0,0,120.9,120.9,120.9,5913,,20028
