Symbol,Date,Close,Open,Bid,Ask,Last,Volume,AvgVolume,VolumeFirstMinute
MNSO,2020-10-15 16:41:00,0,0,24.39,24.39,24.39,34023,,
MNSO,2020-10-15 16:42:00,0,0,24.4,24.4,24.4,4964,,
MNSO,2020-10-15 16:43:00,0,0,24.17,24.17,24.17,7799,,
MNSO,2020-10-15 16:44:00,0,0,24.09,24.09,24.09,3116,,
MNSO,2020-10-15 16:45:00,0,0,24.12,24.12,24.12,3162,,
MNSO,2020-10-15 16:46:00,0,0,23.96,23.96,23.96,2748,,
MNSO,2020-10-15 16:47:00,0,0,23.81,23.81,23.81,1384,,
MNSO,2020-10-15 16:48:00,0,0,23.93,23.93,23.93,1565,,
MNSO,2020-10-15 16:49:00,0,0,23.95,23.95,23.95,1027,,
MNSO,2020-10-15 16:50:00,0,0,23.81,23.81,23.81,2329,,
MNSO,2020-10-15 16:51:00,0,0,23.88,23.88,23.88,1429,,
MNSO,2020-10-15 16:52:00,0,0,23.81,23.81,23.81,825,,
MNSO,2020-10-15 16:53:00,0,0,23.59,23.59,23.59,2228,,
MNSO,2020-10-15 16:54:00,0,0,23.55,23.55,23.55,2402,,
MNSO,2020-10-15 16:55:00,0,0,23.56,23.56,23.56,1286,,
MNSO,2020-10-15 16:56:00,0,0,23.52,23.52,23.52,1043,,
MNSO,2020-10-15 16:57:00,0,0,23.56,23.56,23.56,1169,,
MNSO,2020-10-15 16:58:00,0,0,23.43,23.43,23.43,1847,,
MNSO,2020-10-15 16:59:00,0,0,23.5,23.5,23.5,1022,,
MNSO,2020-10-15 17:00:00,0,0,23.43,23.43,23.43,613,,
MNSO,2020-10-15 17:01:00,0,0,23.48,23.48,23.48,1136,,
MNSO,2020-10-15 17:02:00,0,0,23.5,23.5,23.5,1343,,
MNSO,2020-10-15 17:03:00,0,0,23.54,23.54,23.54,1388,,
MNSO,2020-10-15 17:04:00,0,0,23.32,23.32,23.32,1535,,
MNSO,2020-10-15 17:05:00,0,0,23.16,23.16,23.16,1075,,
MNSO,2020-10-15 17:06:00,0,0,23.02,23.02,23.02,2493,,
MNSO,2020-10-15 17:07:00,0,0,23.06,23.06,23.06,2157,,
MNSO,2020-10-15 17:08:00,0,0,23.03,23.03,23.03,1280,,
MNSO,2020-10-15 17:09:00,0,0,22.93,22.93,22.93,2970,,
MNSO,2020-10-15 17:10:00,0,0,22.95,22.95,22.95,511,,
MNSO,2020-10-15 17:11:00,0,0,22.96,22.96,22.96,537,,
MNSO,2020-10-15 17:12:00,0,0,23.21,23.21,23.21,750,,
