Date,PnL,Trades

2020-03-17,71.23000000000002,2
2020-03-18,104.15999999999985,2
2020-03-20,-67.95999999999981,2
2020-03-23,33.45999999999981,1
2020-03-24,57.15999999999963,2
2020-03-25,-87.8599999999999,2
2020-03-26,77.67999999999961,2
2020-03-27,29.759999999999877,2
2020-03-30,89.6400000000001,2
2020-03-31,72.23000000000002,2
2020-04-01,52.730000000000246,2
2020-04-02,66.07999999999993,2
2020-04-03,33.27999999999997,2
2020-04-06,76.20999999999981,2
2020-04-07,80.00999999999976,2
2020-04-08,-0.7599999999997635,2
2020-04-09,-94.83000000000015,2
2020-04-13,30.399999999999864,1
2020-04-14,78.75999999999999,2
2020-04-15,68.1400000000001,2
2020-04-16,38.289999999999964,1
2020-04-17,28.639999999999873,1
2020-04-20,-15.289999999999736,2
2020-04-21,68.59999999999991,2
2020-04-22,37.27999999999997,2
2020-04-23,62.25999999999976,1
2020-04-24,43.40000000000009,1
2020-04-27,-151.62000000000012,1
2020-04-28,86.47999999999979,2
2020-04-29,-31.590000000000146,2
2020-04-30,44.09999999999991,1
2020-05-01,-29.499999999999773,1
2020-05-04,95.74000000000001,2
2020-05-05,49.11000000000013,1
2020-05-06,83.81999999999994,2
2020-05-07,103.12000000000012,2
2020-05-08,72.70000000000005,2
2020-05-12,107.34000000000015,2
2020-05-13,42.2199999999998,1
2020-05-14,73.62000000000012,2
2020-05-18,-134.26000000000022,2
2020-05-19,125.75000000000023,2
2020-05-20,90.70000000000005,2
2020-05-21,44.81999999999971,2
2020-05-26,132.30999999999972,2
2020-05-27,103.99999999999932,2
2020-05-28,111.0,1
2020-05-29,56.79000000000019,1
2020-06-01,86.48000000000002,1
2020-06-02,70.71000000000004,1
2020-06-03,108.46000000000004,2
2020-06-04,101.38999999999942,2
2020-06-05,177.13999999999987,2
2020-06-08,72.70000000000027,1
2020-06-09,40.5,2
2020-06-10,116.0300000000002,2
2020-06-11,-89.48000000000093,2
2020-06-12,230.03999999999996,2
2020-06-15,127.05999999999949,2
2020-06-16,19.539999999999964,2
2020-06-17,89.09999999999991,1
2020-06-18,-19.090000000000146,2
2020-06-19,86.75999999999976,2
2020-06-22,170.07999999999993,2
2020-06-23,67.4399999999996,1
2020-06-24,71.52000000000044,2
2020-06-25,-236.25,2
2020-06-26,0.0,1
2020-06-29,73.96000000000004,1
2020-06-30,229.48000000000047,2
2020-07-02,69.7199999999998,2
2020-07-06,127.08000000000038,2
2020-07-07,-153.1899999999996,2
2020-07-09,74.2800000000002,1
2020-07-10,147.95999999999958,1
2020-07-14,129.08000000000038,2
2020-07-15,-18.599999999999454,2
2020-07-16,178.53999999999996,2
2020-07-17,76.28999999999996,1
2020-07-20,94.51999999999998,1
2020-07-21,-29.9399999999996,1
2020-07-22,106.61999999999989,1
2020-07-23,97.76000000000022,2
2020-07-24,141.30000000000018,1
2020-07-28,74.09999999999991,1
2020-07-29,111.76000000000022,1
2020-07-30,-25.099999999999454,1
