Date,Symbol,Result,PnL,Price CreateTrade,Price CloseTrade,Size,Avg Volume,Volume 1st minute,Total Invested,Open Price,YSTD Close Price,Action,Cash

2020-03-17,RAVE,✅ ✅,39.99000000000001,0.75,0.78,1333,3.62,2.0,999.75,0.75,0.79,BUY,2000
2020-03-17,KIRK,✅ ✅,31.24000000000001,0.64,0.66,1562,15.18,0,999.6800000000001,0.64,0.67,BUY,2039.99
2020-03-18,BGI,✅ ✅,51.75999999999999,0.8,0.76,1294,0.7,0,1035.2,0.8,0.75,SELL,2071.23
2020-03-18,HBP,✅ ✅,52.399999999999864,0.79,0.83,1310,0.87,0,1034.9,0.79,0.85,BUY,2122.99
2020-03-20,BBQ,❌ ❌,-109.0,2.49,2.24,436,1.18,0,1085.64,2.54,2.64,BUY,2175.3899999999994
2020-03-20,BGI,✅ ✅,41.04000000000019,0.53,0.55,2052,0.73,0,1087.56,0.53,0.56,BUY,2066.3899999999994
2020-03-23,GRIL,✅ ✅,33.45999999999981,2.2,2.27,478,14.14,0,1051.6000000000001,2.2,2.3,BUY,2107.4299999999994
2020-03-24,KIRK,✅ ✅,51.55999999999983,0.83,0.79,1289,14.85,13.0,1069.87,0.84,0.78,SELL,2140.8899999999994
2020-03-24,DG,✅,5.599999999999795,145.2,144.4,7,83.85,20.0,1016.3999999999999,145.17,139.87,SELL,2192.4499999999994
2020-03-25,STKS,❌ ❌,-110.62999999999988,1.29,1.42,851,6.34,0,1097.79,1.28,1.19,SELL,2198.0499999999993
2020-03-25,BIG,✅ ✅,22.769999999999982,15.88,15.55,69,44.11,55.0,1095.72,16.03,15.41,SELL,2087.419999999999
2020-03-26,HBP,✅ ✅,30.579999999999927,0.69,0.67,1529,1.56,0,1055.01,0.69,0.66,SELL,2110.189999999999
2020-03-26,WTRH,✅ ✅,47.09999999999968,1.12,1.17,942,654.76,65.0,1055.0400000000002,1.13,1.2,BUY,2140.769999999999
2020-03-27,WTRH,✅,57.95999999999981,1.32,1.39,828,639.46,317.0,1092.96,1.34,1.45,BUY,2187.869999999999
2020-03-27,MUSA,❌,-28.199999999999932,85.1,82.75,12,15.11,30.0,1021.1999999999999,84.61,88.55,BUY,2245.829999999999
