Symbol,Date,Close,Open,Bid,Ask,Last,Volume,AvgVolume,VolumeFirstMinute
WOOF,2021-01-14 17:13:00,0,0,26.05,26.05,26.05,56867,,
WOOF,2021-01-14 17:14:00,0,0,27.37,27.37,27.37,14057,,
WOOF,2021-01-14 17:15:00,0,0,27.16,27.16,27.16,13143,,
WOOF,2021-01-14 17:16:00,0,0,27.81,27.81,27.81,16816,,
WOOF,2021-01-14 17:17:00,0,0,27.91,27.91,27.91,10107,,
WOOF,2021-01-14 17:18:00,0,0,28.29,28.29,28.29,9228,,
WOOF,2021-01-14 17:19:00,0,0,28.03,28.03,28.03,7627,,
WOOF,2021-01-14 17:20:00,0,0,28.0,28.0,28.0,5832,,
WOOF,2021-01-14 17:21:00,0,0,27.75,27.75,27.75,6039,,
WOOF,2021-01-14 17:22:00,0,0,27.45,27.45,27.45,3173,,
WOOF,2021-01-14 17:23:00,0,0,27.27,27.27,27.27,3218,,
WOOF,2021-01-14 17:24:00,0,0,27.19,27.19,27.19,2894,,
WOOF,2021-01-14 17:25:00,0,0,27.52,27.52,27.52,2769,,
WOOF,2021-01-14 17:26:00,0,0,27.1,27.1,27.1,5963,,
WOOF,2021-01-14 17:27:00,0,0,27.18,27.18,27.18,2652,,
WOOF,2021-01-14 17:28:00,0,0,27.63,27.63,27.63,2460,,
WOOF,2021-01-14 17:29:00,0,0,27.9,27.9,27.9,4262,,
WOOF,2021-01-14 17:30:00,0,0,27.98,27.98,27.98,4553,,
WOOF,2021-01-14 17:31:00,0,0,28.16,28.16,28.16,5078,,
WOOF,2021-01-14 17:32:00,0,0,28.58,28.58,28.58,6827,,
WOOF,2021-01-14 17:33:00,0,0,28.58,28.58,28.58,4126,,
WOOF,2021-01-14 17:34:00,0,0,28.94,28.94,28.94,6751,,
WOOF,2021-01-14 17:35:00,0,0,28.91,28.91,28.91,4660,,
WOOF,2021-01-14 17:36:00,0,0,29.08,29.08,29.08,4501,,
WOOF,2021-01-14 17:37:00,0,0,29.3,29.3,29.3,4407,,
WOOF,2021-01-14 17:38:00,0,0,29.88,29.88,29.88,9146,,
WOOF,2021-01-14 17:39:00,0,0,30.24,30.24,30.24,7359,,
WOOF,2021-01-14 17:40:00,0,0,30.58,30.58,30.58,7058,,
WOOF,2021-01-14 17:41:00,0,0,30.39,30.39,30.39,5822,,
WOOF,2021-01-14 17:42:00,0,0,29.92,29.92,29.92,4484,,
WOOF,2021-01-14 17:43:00,0,0,29.71,29.71,29.71,4097,,
WOOF,2021-01-14 17:44:00,0,0,29.43,29.43,29.43,3302,,
WOOF,2021-01-14 17:45:00,0,0,29.77,29.77,29.77,2576,,
WOOF,2021-01-14 17:46:00,0,0,29.61,29.61,29.61,2276,,
WOOF,2021-01-14 17:47:00,0,0,29.81,29.81,29.81,1856,,
WOOF,2021-01-14 17:48:00,0,0,29.92,29.92,29.92,2929,,
WOOF,2021-01-14 17:49:00,0,0,30.38,30.38,30.38,4665,,
WOOF,2021-01-14 17:50:00,0,0,30.58,30.58,30.58,3448,,
WOOF,2021-01-14 17:51:00,0,0,30.56,30.56,30.56,3019,,
WOOF,2021-01-14 17:52:00,0,0,30.07,30.07,30.07,3577,,
WOOF,2021-01-14 17:53:00,0,0,30.14,30.14,30.14,2014,,
WOOF,2021-01-14 17:54:00,0,0,30.17,30.17,30.17,3230,,
WOOF,2021-01-14 17:55:00,0,0,30.8,30.8,30.8,5631,,
WOOF,2021-01-14 17:56:00,0,0,30.3,30.3,30.3,2923,,
WOOF,2021-01-14 17:57:00,0,0,30.3,30.3,30.3,1797,,
WOOF,2021-01-14 17:58:00,0,0,30.33,30.33,30.33,1636,,
WOOF,2021-01-14 17:59:00,0,0,30.19,30.19,30.19,1570,,
WOOF,2021-01-14 18:00:00,0,0,29.98,29.98,29.98,2465,,
WOOF,2021-01-14 18:01:00,0,0,29.98,29.98,29.98,1365,,
WOOF,2021-01-14 18:02:00,0,0,29.8,29.8,29.8,2226,,
WOOF,2021-01-14 18:03:00,0,0,29.81,29.81,29.81,861,,
WOOF,2021-01-14 18:04:00,0,0,29.58,29.58,29.58,2299,,
WOOF,2021-01-14 18:05:00,0,0,29.58,29.58,29.58,1573,,
WOOF,2021-01-14 18:06:00,0,0,29.68,29.68,29.68,902,,
WOOF,2021-01-14 18:07:00,0,0,29.85,29.85,29.85,1301,,
WOOF,2021-01-14 18:08:00,0,0,29.98,29.98,29.98,1608,,
WOOF,2021-01-14 18:09:00,0,0,30.16,30.16,30.16,1694,,
WOOF,2021-01-14 18:10:00,0,0,30.1,30.1,30.1,1259,,
WOOF,2021-01-14 18:11:00,0,0,30.07,30.07,30.07,1408,,
WOOF,2021-01-14 18:12:00,0,0,29.98,29.98,29.98,845,,
WOOF,2021-01-14 18:13:00,0,0,30.0,30.0,30.0,1050,,
WOOF,2021-01-14 18:14:00,0,0,29.91,29.91,29.91,460,,
WOOF,2021-01-14 18:15:00,0,0,29.9,29.9,29.9,925,,
WOOF,2021-01-14 18:16:00,0,0,29.84,29.84,29.84,1026,,
WOOF,2021-01-14 18:17:00,0,0,29.7,29.7,29.7,1535,,
WOOF,2021-01-14 18:18:00,0,0,29.45,29.45,29.45,1938,,
WOOF,2021-01-14 18:19:00,0,0,29.32,29.32,29.32,1807,,
WOOF,2021-01-14 18:20:00,0,0,29.21,29.21,29.21,1053,,
WOOF,2021-01-14 18:21:00,0,0,28.84,28.84,28.84,4171,,
WOOF,2021-01-14 18:22:00,0,0,28.89,28.89,28.89,1650,,
