Symbol,Exchange,Currency
AAPL,SMART,USD
MSFT,SMART,USD
GOOG,SMART,USD
AMZN,SMART,USD
FB,SMART,USD
TSLA,SMART,USD
NVDA,SMART,USD
JPM,SMART,USD
V,SMART,USD
JNJ,SMART,USD
WMT,SMART,USD
UNH,SMART,USD
BAC,SMART,USD
MA,SMART,USD
HD,SMART,USD
PG,SMART,USD
DIS,SMART,USD
PYPL,SMART,USD
ADBE,SMART,USD
NFLX,SMART,USD
CRM,SMART,USD
CMCSA,SMART,USD
XOM,SMART,USD
ORCL,SMART,USD
PFE,SMART,USD
NKE,SMART,USD
CSCO,SMART,USD
KO,SMART,USD
TMO,SMART,USD
VZ,SMART,USD
LLY,SMART,USD
INTC,SMART,USD
DHR,SMART,USD
PEP,SMART,USD
ABT,SMART,USD
MRK,SMART,USD
ACN,SMART,USD
CVX,SMART,USD
AVGO,SMART,USD
COST,SMART,USD
T,SMART,USD
WFC,SMART,USD
ABBV,SMART,USD
MCD,SMART,USD
MS,SMART,USD
TXN,SMART,USD
MDT,SMART,USD
SHOP,SMART,USD
TMUS,SMART,USD
UPS,SMART,USD
NEE,SMART,USD
LIN,SMART,USD
PM,SMART,USD
HON,SMART,USD
INTU,SMART,USD
QCOM,SMART,USD
C,SMART,USD
LOW,SMART,USD
SCHW,SMART,USD
BX,SMART,USD
AXP,SMART,USD
MRNA,SMART,USD
CHTR,SMART,USD
SBUX,SMART,USD
BA,SMART,USD
BMY,SMART,USD
RTX,SMART,USD
UNP,SMART,USD
GS,SMART,USD
IBM,SMART,USD
BLK,SMART,USD
NOW,SMART,USD
AMD,SMART,USD
AMGN,SMART,USD
ISRG,SMART,USD
SNAP,SMART,USD
AMAT,SMART,USD
GE,SMART,USD
EL,SMART,USD
TGT,SMART,USD
CVS,SMART,USD
SQ,SMART,USD
ABNB,SMART,USD
CAT,SMART,USD
DE,SMART,USD
SPGI,SMART,USD
MMM,SMART,USD
SYK,SMART,USD
BKNG,SMART,USD
TEAM,SMART,USD
LMT,SMART,USD
COP,SMART,USD
ZTS,SMART,USD
ANTM,SMART,USD
SNOW,SMART,USD
USB,SMART,USD
ADI,SMART,USD
UBER,SMART,USD
GILD,SMART,USD
BAM,SMART,USD
ADP,SMART,USD
MO,SMART,USD
PNC,SMART,USD
MELI,SMART,USD
MDLZ,SMART,USD
DELL,SMART,USD
TFC,SMART,USD
LRCX,SMART,USD
TJX,SMART,USD
MU,SMART,USD
ZM,SMART,USD
HCA,SMART,USD
MMC,SMART,USD
GM,SMART,USD
CB,SMART,USD
SHW,SMART,USD
FIS,SMART,USD
DUK,SMART,USD
COF,SMART,USD
FISV,SMART,USD
CME,SMART,USD
BDX,SMART,USD
EW,SMART,USD
DASH,SMART,USD
CI,SMART,USD
CSX,SMART,USD
MCO,SMART,USD
AON,SMART,USD
SO,SMART,USD
ITW,SMART,USD
ICE,SMART,USD
CL,SMART,USD
VMW,SMART,USD
WM,SMART,USD
WDAY,SMART,USD
ADSK,SMART,USD
BSX,SMART,USD
ECL,SMART,USD
ATVI,SMART,USD
REGN,SMART,USD
NSC,SMART,USD
ETN,SMART,USD
FDX,SMART,USD
D,SMART,USD
ILMN,SMART,USD
NOC,SMART,USD
TWLO,SMART,USD
APD,SMART,USD
CRWD,SMART,USD
EMR,SMART,USD
F,SMART,USD
GD,SMART,USD
MET,SMART,USD
PGR,SMART,USD
DXCM,SMART,USD
IDXX,SMART,USD
ALGN,SMART,USD
CVNA,SMART,USD
LULU,SMART,USD
CMG,SMART,USD
NXPI,SMART,USD
KLAC,SMART,USD
MAR,SMART,USD
DOCU,SMART,USD
MSCI,SMART,USD
HUM,SMART,USD
TWTR,SMART,USD
MRVL,SMART,USD
JCI,SMART,USD
EOG,SMART,USD
DG,SMART,USD
COIN,SMART,USD
FTNT,SMART,USD
FCX,SMART,USD
EPD,SMART,USD
MNST,SMART,USD
PLTR,SMART,USD
AIG,SMART,USD
PANW,SMART,USD
CPNG,SMART,USD
A,SMART,USD
ROP,SMART,USD
KDP,SMART,USD
INFO,SMART,USD
GPN,SMART,USD
VRTX,SMART,USD
EXC,SMART,USD
TEL,SMART,USD
IQV,SMART,USD
SNPS,SMART,USD
BK,SMART,USD
CARR,SMART,USD
EBAY,SMART,USD
TROW,SMART,USD
KHC,SMART,USD
DDOG,SMART,USD
APH,SMART,USD
KMB,SMART,USD
LHX,SMART,USD
VEEV,SMART,USD
MTCH,SMART,USD
SCCO,SMART,USD
DOW,SMART,USD
RBLX,SMART,USD
SPOT,SMART,USD
NEM,SMART,USD
PXD,SMART,USD
SLB,SMART,USD
CDNS,SMART,USD
BIIB,SMART,USD
ROKU,SMART,USD
MCHP,SMART,USD
ORLY,SMART,USD
PAYX,SMART,USD
TT,SMART,USD
SYY,SMART,USD
APTV,SMART,USD
STZ,SMART,USD
PRU,SMART,USD
EA,SMART,USD
AEP,SMART,USD
BAX,SMART,USD
MPC,SMART,USD
WBA,SMART,USD
CTAS,SMART,USD
SRE,SMART,USD
LCID,SMART,USD
MSI,SMART,USD
CTSH,SMART,USD
ROST,SMART,USD
SIVB,SMART,USD
HLT,SMART,USD
RSG,SMART,USD
KMI,SMART,USD
RMD,SMART,USD
DFS,SMART,USD
TRV,SMART,USD
ALL,SMART,USD
PH,SMART,USD
XLNX,SMART,USD
OKTA,SMART,USD
CNC,SMART,USD
GIS,SMART,USD
YUM,SMART,USD
ZS,SMART,USD
DD,SMART,USD
TDG,SMART,USD
KKR,SMART,USD
IFF,SMART,USD
NET,SMART,USD
HOOD,SMART,USD
U,SMART,USD
AFL,SMART,USD
AZO,SMART,USD
OTIS,SMART,USD
HSY,SMART,USD
FRC,SMART,USD
CSGP,SMART,USD
ROK,SMART,USD
PPG,SMART,USD
PINS,SMART,USD
ADM,SMART,USD
CBRE,SMART,USD
TTD,SMART,USD
XEL,SMART,USD
CPRT,SMART,USD
ODFL,SMART,USD
CMI,SMART,USD
EPAM,SMART,USD
NDAQ,SMART,USD
HPQ,SMART,USD
VRSK,SMART,USD
HUBS,SMART,USD
LUV,SMART,USD
WMB,SMART,USD
LYB,SMART,USD
AFRM,SMART,USD
CTVA,SMART,USD
PSX,SMART,USD
STT,SMART,USD
GLW,SMART,USD
AJG,SMART,USD
SGEN,SMART,USD
RKT,SMART,USD
MDB,SMART,USD
EFX,SMART,USD
ZBH,SMART,USD
WLTW,SMART,USD
WST,SMART,USD
MCK,SMART,USD
PEG,SMART,USD
AWK,SMART,USD
AMP,SMART,USD
KEYS,SMART,USD
PAYC,SMART,USD
FITB,SMART,USD
VLO,SMART,USD
ANSS,SMART,USD
DHI,SMART,USD
GRMN,SMART,USD
FAST,SMART,USD
MPLX,SMART,USD
BLL,SMART,USD
LVS,SMART,USD
KR,SMART,USD
OXY,SMART,USD
CCL,SMART,USD
DAL,SMART,USD
AME,SMART,USD
NUE,SMART,USD
SWK,SMART,USD
SYF,SMART,USD
LEN,SMART,USD
YNDX,SMART,USD
CHWY,SMART,USD
ES,SMART,USD
TSN,SMART,USD
APP,SMART,USD
ZI,SMART,USD
WEC,SMART,USD
PCAR,SMART,USD
BILL,SMART,USD
IBKR,SMART,USD
ZBRA,SMART,USD
SWKS,SMART,USD
LH,SMART,USD
ANET,SMART,USD
PATH,SMART,USD
VFC,SMART,USD
OKE,SMART,USD
ET,SMART,USD
W,SMART,USD
BKR,SMART,USD
PTON,SMART,USD
URI,SMART,USD
BBY,SMART,USD
VIAC,SMART,USD
ETSY,SMART,USD
IT,SMART,USD
EXPE,SMART,USD
ALB,SMART,USD
GNRC,SMART,USD
CDW,SMART,USD
CZR,SMART,USD
CCEP,SMART,USD
FTV,SMART,USD
ED,SMART,USD
KSU,SMART,USD
HES,SMART,USD
LNG,SMART,USD
APO,SMART,USD
DVN,SMART,USD
ABC,SMART,USD
HZNP,SMART,USD
SIRI,SMART,USD
HIG,SMART,USD
YUMC,SMART,USD
AVTR,SMART,USD
DISH,SMART,USD
BIP,SMART,USD
XP,SMART,USD
RCL,SMART,USD
SPLK,SMART,USD
HBAN,SMART,USD
UPST,SMART,USD
VRSN,SMART,USD
TSCO,SMART,USD
WMG,SMART,USD
Z,SMART,USD
VMC,SMART,USD
ALNY,SMART,USD
NTRS,SMART,USD
XM,SMART,USD
DOV,SMART,USD
FOX,SMART,USD
CTLT,SMART,USD
HRL,SMART,USD
MPWR,SMART,USD
MLM,SMART,USD
DLTR,SMART,USD
FLT,SMART,USD
RPRX,SMART,USD
LYV,SMART,USD
XYL,SMART,USD
TRU,SMART,USD
WAT,SMART,USD
K,SMART,USD
DTE,SMART,USD
MGM,SMART,USD
MKC,SMART,USD
PPL,SMART,USD
IR,SMART,USD
KEY,SMART,USD
TRMB,SMART,USD
CRL,SMART,USD
RNG,SMART,USD
ENPH,SMART,USD
EIX,SMART,USD
ICLR,SMART,USD
IP,SMART,USD
CERN,SMART,USD
GWW,SMART,USD
RF,SMART,USD
AEE,SMART,USD
STE,SMART,USD
DT,SMART,USD
KMX,SMART,USD
CFG,SMART,USD
COO,SMART,USD
DKNG,SMART,USD
TDY,SMART,USD
DRI,SMART,USD
NTAP,SMART,USD
CLX,SMART,USD
CHD,SMART,USD
TDOC,SMART,USD
ULTA,SMART,USD
ETR,SMART,USD
EDR,SMART,USD
HAL,SMART,USD
CQP,SMART,USD
QSR,SMART,USD
AMC,SMART,USD
EXPD,SMART,USD
MTB,SMART,USD
PODD,SMART,USD
ON,SMART,USD
OWL,SMART,USD
FE,SMART,USD
RJF,SMART,USD
PKI,SMART,USD
TECH,SMART,USD
BR,SMART,USD
HPE,SMART,USD
TW,SMART,USD
PCG,SMART,USD
STX,SMART,USD
BURL,SMART,USD
AGR,SMART,USD
QRVO,SMART,USD
ASAN,SMART,USD
ALLY,SMART,USD
LYFT,SMART,USD
CINF,SMART,USD
TTWO,SMART,USD
HOLX,SMART,USD
COG,SMART,USD
TER,SMART,USD
AMCR,SMART,USD
TFX,SMART,USD
SSNC,SMART,USD
FANG,SMART,USD
WDC,SMART,USD
PFG,SMART,USD
J,SMART,USD
JBHT,SMART,USD
POOL,SMART,USD
ROL,SMART,USD
DPZ,SMART,USD
DGX,SMART,USD
GPC,SMART,USD
CLR,SMART,USD
GDRX,SMART,USD
AVY,SMART,USD
PAGS,SMART,USD
NUAN,SMART,USD
CMS,SMART,USD
BSY,SMART,USD
HEI,SMART,USD
AKAM,SMART,USD
CDAY,SMART,USD
CE,SMART,USD
CG,SMART,USD
ENTG,SMART,USD
BBWI,SMART,USD
WAB,SMART,USD
UAL,SMART,USD
CFLT,SMART,USD
EXAS,SMART,USD
SBNY,SMART,USD
VTRS,SMART,USD
PPD,SMART,USD
COUP,SMART,USD
PWR,SMART,USD
DLO,SMART,USD
BRO,SMART,USD
CAG,SMART,USD
LBTYA,SMART,USD
IEX,SMART,USD
TXG,SMART,USD
TXT,SMART,USD
OMC,SMART,USD
MKTX,SMART,USD
MOH,SMART,USD
CNP,SMART,USD
PCTY,SMART,USD
RGEN,SMART,USD
DNA,SMART,USD
AES,SMART,USD
AVLR,SMART,USD
LKQ,SMART,USD
ELAN,SMART,USD
BEN,SMART,USD
CHKP,SMART,USD
ACGL,SMART,USD
INCY,SMART,USD
IPG,SMART,USD
MASI,SMART,USD
NLOK,SMART,USD
FDS,SMART,USD
DOCS,SMART,USD
MNDY,SMART,USD
PLUG,SMART,USD
ABMD,SMART,USD
S,SMART,USD
CGNX,SMART,USD
MOS,SMART,USD
