Symbol,Exchange,Currency,Trades Found,Take Profit,Profit,StopLoss,Loss,Wins,%
SNOW,SMART,USD,6,2,3,1,0,5,83.33
CNXC,SMART,USD,6,2,3,1,0,5,83.33
CVA,SMART,USD,11,2,7,0,2,9,81.82
SMFG,SMART,USD,15,6,6,3,0,12,80
WKHS,SMART,USD,16,7,5,4,0,12,75
ASXC,SMART,USD,12,7,2,3,0,9,75
INSG,SMART,USD,14,6,4,3,1,10,71.43
SDC,SMART,USD,7,1,4,2,0,5,71.43
ODP,SMART,USD,24,6,11,7,0,17,70.83
CLVT,SMART,USD,16,1,10,5,0,11,68.75
VC,SMART,USD,19,7,6,4,2,13,68.42
IGC,SMART,USD,18,4,8,3,3,12,66.67
SWCH,SMART,USD,21,2,12,7,0,14,66.67
LKCO,SMART,USD,9,2,4,3,0,6,66.67
GOGO,SMART,USD,20,2,11,7,0,13,65
NEWT,SMART,USD,20,2,11,5,2,13,65
KOS,SMART,USD,20,6,7,5,2,13,65
LZB,SMART,USD,34,6,16,9,3,22,64.71
TYME,SMART,USD,14,6,3,2,3,9,64.29
IEA,SMART,USD,14,1,8,4,1,9,64.29
MMAT,SMART,USD,11,2,5,3,1,7,63.64
TSLA,SMART,USD,30,9,10,9,2,19,63.33
WGO,SMART,USD,30,4,15,11,0,19,63.33
BOTZ,SMART,USD,19,6,6,7,0,12,63.16
X,SMART,USD,27,5,12,9,1,17,62.96
MUFG,SMART,USD,16,5,5,6,0,10,62.5
EPD,SMART,USD,21,2,11,7,1,13,61.9
ACLS,SMART,USD,21,4,9,6,2,13,61.9
DG,SMART,USD,26,8,8,8,2,16,61.54
WBT,SMART,USD,26,4,12,9,1,16,61.54
ZUO,SMART,USD,13,3,5,3,2,8,61.54
DELL,SMART,USD,13,1,7,5,0,8,61.54
PLMR,SMART,USD,13,4,4,4,1,8,61.54
ENLC,SMART,USD,18,2,9,5,2,11,61.11
TAC,SMART,USD,18,0,11,6,1,11,61.11
DCP,SMART,USD,28,4,13,9,2,17,60.71
PEN,SMART,USD,30,5,13,12,0,18,60
SESN,SMART,USD,15,4,5,4,2,9,60
DAC,SMART,USD,10,2,4,3,1,6,60
GKOS,SMART,USD,27,4,12,10,1,16,59.26
PEG,SMART,USD,27,7,9,8,3,16,59.26
TAP,SMART,USD,27,9,7,11,0,16,59.26
ELAN,SMART,USD,27,5,11,7,4,16,59.26
FNF,SMART,USD,22,2,11,7,2,13,59.09
HL,SMART,USD,22,1,12,4,5,13,59.09
TMX,SMART,USD,22,6,7,8,1,13,59.09
SFIX,SMART,USD,22,4,9,9,0,13,59.09
HLX,SMART,USD,17,3,7,3,4,10,58.82
BE,SMART,USD,17,5,5,7,0,10,58.82
UL,SMART,USD,29,3,14,10,2,17,58.62
AVTR,SMART,USD,12,0,7,4,1,7,58.33
SNA,SMART,USD,31,3,15,11,2,18,58.06
NVAX,SMART,USD,19,3,8,8,0,11,57.89
CVE,SMART,USD,19,5,6,7,1,11,57.89
TRP,SMART,USD,26,3,12,8,3,15,57.69
PNM,SMART,USD,26,6,9,9,2,15,57.69
FIZZ,SMART,USD,26,4,11,9,2,15,57.69
NI,SMART,USD,26,4,11,11,0,15,57.69
SFNC,SMART,USD,26,5,10,10,1,15,57.69
GSBD,SMART,USD,14,1,7,5,1,8,57.14
VLY,SMART,USD,21,2,10,6,3,12,57.14
TREE,SMART,USD,21,4,8,8,1,12,57.14
GTES,SMART,USD,14,0,8,6,0,8,57.14
REZI,SMART,USD,14,2,6,4,2,8,57.14
FTCH,SMART,USD,14,1,7,6,0,8,57.14
ORCC,SMART,USD,7,0,4,3,0,4,57.14
CURI,SMART,USD,7,3,1,3,0,4,57.14
TLS,SMART,USD,7,1,3,3,0,4,57.14
WEN,SMART,USD,30,4,13,11,2,17,56.67
ALLY,SMART,USD,23,6,7,10,0,13,56.52
MCY,SMART,USD,23,6,7,8,2,13,56.52
GWRE,SMART,USD,23,6,7,7,3,13,56.52
MX,SMART,USD,23,5,8,9,1,13,56.52
SM,SMART,USD,23,4,9,10,0,13,56.52
CG,SMART,USD,23,5,8,7,3,13,56.52
CRM,SMART,USD,25,7,7,8,3,14,56
RELX,SMART,USD,25,4,10,10,1,14,56
OVV,SMART,USD,18,7,3,6,2,10,55.56
MRVL,SMART,USD,27,7,8,11,1,15,55.56
VTNR,SMART,USD,9,2,3,3,1,5,55.56
TMST,SMART,USD,18,4,6,7,1,10,55.56
BSMX,SMART,USD,9,0,5,3,1,5,55.56
NTNX,SMART,USD,27,5,10,11,1,15,55.56
AXP,SMART,USD,27,5,10,11,1,15,55.56
OKTA,SMART,USD,27,2,13,11,1,15,55.56
VERI,SMART,USD,18,6,4,5,3,10,55.56
PSN,SMART,USD,18,1,9,8,0,10,55.56
UTZ,SMART,USD,9,1,4,3,1,5,55.56
VIAC,SMART,USD,9,1,4,3,1,5,55.56
NRIX,SMART,USD,9,2,3,3,1,5,55.56
FHB,SMART,USD,29,7,9,8,5,16,55.17
FNB,SMART,USD,29,7,9,9,4,16,55.17
BKU,SMART,USD,29,7,9,10,3,16,55.17
JNPR,SMART,USD,20,3,8,7,2,11,55
ENVA,SMART,USD,20,4,7,6,3,11,55
AAPL,SMART,USD,20,4,7,7,2,11,55
MELI,SMART,USD,20,5,6,7,2,11,55
TMUS,SMART,USD,31,7,10,12,2,17,54.84
THC,SMART,USD,31,6,11,13,1,17,54.84
GVA,SMART,USD,33,8,10,12,3,18,54.55
PBI,SMART,USD,22,3,9,10,0,12,54.55
LHX,SMART,USD,33,6,12,13,2,18,54.55
BIP,SMART,USD,22,2,10,8,2,12,54.55
OSTK,SMART,USD,22,9,3,8,2,12,54.55
HEXO,SMART,USD,11,2,4,4,1,6,54.55
CMPR,SMART,USD,11,2,4,2,3,6,54.55
SI,SMART,USD,11,2,4,5,0,6,54.55
PRU,SMART,USD,35,4,15,16,0,19,54.29
VG,SMART,USD,24,5,8,8,3,13,54.17
GM,SMART,USD,24,6,7,10,1,13,54.17
CNQ,SMART,USD,24,4,9,10,1,13,54.17
WTRG,SMART,USD,37,4,16,14,3,20,54.05
EXC,SMART,USD,37,3,17,12,5,20,54.05
ACIW,SMART,USD,26,1,13,9,3,14,53.85
GT,SMART,USD,26,5,9,9,3,14,53.85
GEVO,SMART,USD,13,4,3,5,1,7,53.85
ACMR,SMART,USD,13,3,4,5,1,7,53.85
SWAV,SMART,USD,13,3,4,6,0,7,53.85
DDD,SMART,USD,28,8,7,13,0,15,53.57
RACE,SMART,USD,28,7,8,11,2,15,53.57
NWG,SMART,USD,15,4,4,5,2,8,53.33
RDWR,SMART,USD,30,3,13,12,2,16,53.33
GCI,SMART,USD,17,2,7,5,3,9,52.94
WPRT,SMART,USD,17,7,2,7,1,9,52.94
FCEL,SMART,USD,17,4,5,6,2,9,52.94
IBP,SMART,USD,36,4,15,14,3,19,52.78
SFL,SMART,USD,19,1,9,9,0,10,52.63
AVXL,SMART,USD,21,1,10,6,4,11,52.38
BXC,SMART,USD,23,6,6,9,2,12,52.17
ROKU,SMART,USD,23,3,9,10,1,12,52.17
VFC,SMART,USD,25,4,9,11,1,13,52
PATK,SMART,USD,25,5,8,11,1,13,52
CSL,SMART,USD,25,2,11,10,2,13,52
LSXMA,SMART,USD,25,2,11,9,3,13,52
OI,SMART,USD,25,1,12,9,3,13,52
OII,SMART,USD,25,3,10,9,3,13,52
WWE,SMART,USD,25,3,10,10,2,13,52
RCM,SMART,USD,25,3,10,10,2,13,52
CCJ,SMART,USD,25,5,8,10,2,13,52
VRNT,SMART,USD,27,4,10,11,2,14,51.85
SKY,SMART,USD,27,1,13,7,6,14,51.85
APH,SMART,USD,27,4,10,12,1,14,51.85
URI,SMART,USD,27,7,7,12,1,14,51.85
BCEI,SMART,USD,27,7,7,10,3,14,51.85
CGNX,SMART,USD,27,4,10,13,0,14,51.85
ITW,SMART,USD,29,7,8,14,0,15,51.72
AMAT,SMART,USD,29,5,10,12,2,15,51.72
APPF,SMART,USD,29,7,8,11,3,15,51.72
SSO,SMART,USD,29,8,7,14,0,15,51.72
JLL,SMART,USD,31,7,9,13,2,16,51.61
RGA,SMART,USD,31,5,11,14,1,16,51.61
AMBA,SMART,USD,33,6,11,16,0,17,51.52
PDCO,SMART,USD,33,7,10,14,2,17,51.52
NEU,SMART,USD,35,8,10,12,5,18,51.43
GERN,SMART,USD,12,1,5,6,0,6,50
CVS,SMART,USD,28,6,8,12,2,14,50
DISCA,SMART,USD,26,5,8,10,3,13,50
G,SMART,USD,28,7,7,13,1,14,50
AXON,SMART,USD,24,5,7,11,1,12,50
RBA,SMART,USD,28,7,7,9,5,14,50
AVNS,SMART,USD,22,4,7,10,1,11,50
BKE,SMART,USD,36,5,13,16,2,18,50
TX,SMART,USD,20,5,5,8,2,10,50
PKI,SMART,USD,24,3,9,9,3,12,50
KLAC,SMART,USD,24,8,4,10,2,12,50
MANU,SMART,USD,18,2,7,6,3,9,50
VMC,SMART,USD,44,2,20,21,1,22,50
AWI,SMART,USD,24,6,6,10,2,12,50
MVIS,SMART,USD,12,4,2,4,2,6,50
TSCO,SMART,USD,24,4,8,10,2,12,50
FULT,SMART,USD,26,2,11,8,5,13,50
COLB,SMART,USD,22,6,5,10,1,11,50
CTLT,SMART,USD,28,6,8,12,2,14,50
NATI,SMART,USD,24,2,10,10,2,12,50
GGG,SMART,USD,30,6,9,13,2,15,50
BERY,SMART,USD,34,5,12,14,3,17,50
WLL,SMART,USD,32,8,8,13,3,16,50
BOH,SMART,USD,42,8,13,17,4,21,50
CCK,SMART,USD,28,6,8,13,1,14,50
MMM,SMART,USD,24,6,6,12,0,12,50
NYCB,SMART,USD,22,3,8,10,1,11,50
IEP,SMART,USD,22,3,8,9,2,11,50
NVDA,SMART,USD,28,8,6,12,2,14,50
AX,SMART,USD,26,4,9,13,0,13,50
AB,SMART,USD,24,4,8,10,2,12,50
PRMW,SMART,USD,18,2,7,8,1,9,50
UIS,SMART,USD,14,1,6,6,1,7,50
DISCK,SMART,USD,24,7,5,7,5,12,50
ORA,SMART,USD,28,3,11,11,3,14,50
STFC,SMART,USD,24,2,10,10,2,12,50
CBU,SMART,USD,30,6,9,14,1,15,50
KO,SMART,USD,26,4,9,10,3,13,50
CONN,SMART,USD,18,3,6,8,1,9,50
ANF,SMART,USD,30,2,13,12,3,15,50
LOW,SMART,USD,24,6,6,9,3,12,50
FDS,SMART,USD,30,4,11,14,1,15,50
OSK,SMART,USD,26,5,8,12,1,13,50
POST,SMART,USD,26,4,9,11,2,13,50
PSEC,SMART,USD,6,1,2,3,0,3,50
LUMN,SMART,USD,22,5,6,7,4,11,50
SU,SMART,USD,22,3,8,9,2,11,50
HTH,SMART,USD,36,4,14,17,1,18,50
ANY,SMART,USD,16,5,3,7,1,8,50
NEP,SMART,USD,38,6,13,15,4,19,50
SPWH,SMART,USD,10,1,4,4,1,5,50
SLGN,SMART,USD,26,4,9,9,4,13,50
WAFD,SMART,USD,26,3,10,11,2,13,50
HMHC,SMART,USD,12,2,4,5,1,6,50
MPLX,SMART,USD,28,7,7,14,0,14,50
GNUS,SMART,USD,12,2,4,5,1,6,50
ATOS,SMART,USD,14,3,4,5,2,7,50
MRTX,SMART,USD,24,4,8,8,4,12,50
RDFN,SMART,USD,22,5,6,8,3,11,50
EXPR,SMART,USD,16,4,4,5,3,8,50
CIXX,SMART,USD,8,4,0,3,1,4,50
XRX,SMART,USD,12,1,5,4,2,6,50
SPOT,SMART,USD,18,4,5,7,2,9,50
PRPL,SMART,USD,12,2,4,6,0,6,50
JAGX,SMART,USD,10,0,5,4,1,5,50
RAMP,SMART,USD,18,4,5,9,0,9,50
IPA,SMART,USD,10,2,3,5,0,5,50
SONO,SMART,USD,14,3,4,5,2,7,50
LEVI,SMART,USD,24,3,9,9,3,12,50
BYND,SMART,USD,8,3,1,4,0,4,50
BRP,SMART,USD,8,2,2,2,2,4,50
AVPT,SMART,USD,8,1,3,4,0,4,50
BILL,SMART,USD,8,1,3,2,2,4,50
SKLZ,SMART,USD,6,2,1,2,1,3,50
ADCT,SMART,USD,6,1,2,2,1,3,50
SCR,SMART,USD,6,1,2,3,0,3,50
RLAY,SMART,USD,8,0,4,2,2,4,50
MP,SMART,USD,8,1,3,4,0,4,50
AAN,SMART,USD,6,1,2,3,0,3,50
SMFR,SMART,USD,6,2,1,2,1,3,50
CANO,SMART,USD,6,1,2,3,0,3,50
JCI,SMART,USD,39,4,15,16,4,19,48.72
FE,SMART,USD,37,2,16,14,5,18,48.65
TEX,SMART,USD,37,6,12,15,4,18,48.65
CAI,SMART,USD,35,6,11,16,2,17,48.57
DLTR,SMART,USD,35,9,8,16,2,17,48.57
