Symbol,Exchange,Currency,Trades Found,Take Profit,Profit,StopLoss,Loss,Wins,%
PREM,SMART,GBP,0,0,0,0,0,0,0
ICON,SMART,GBP,0,0,0,0,0,0,0
UKOG,SMART,GBP,0,0,0,0,0,0,0
KOD,SMART,GBP,0,0,0,0,0,0,0
SYME,SMART,GBP,0,0,0,0,0,0,0
DKE,SMART,GBP,0,0,0,0,0,0,0
OEX,SMART,GBP,0,0,0,0,0,0,0
LLOY,SMART,GBP,0,0,0,0,0,0,0
PPG,SMART,GBP,0,0,0,0,0,0,0
SAR,SMART,GBP,0,0,0,0,0,0,0
VELA,SMART,GBP,0,0,0,0,0,0,0
TOOP,SMART,GBP,0,0,0,0,0,0,0
BOIL,SMART,GBP,0,0,0,0,0,0,0
RBD,SMART,GBP,0,0,0,0,0,0,0
MRW,SMART,GBP,0,0,0,0,0,0,0
MSMN,SMART,GBP,0,0,0,0,0,0,0
GWMO,SMART,GBP,0,0,0,0,0,0,0
EQT,SMART,GBP,0,0,0,0,0,0,0
MLVN,SMART,GBP,0,0,0,0,0,0,0
RMS,SMART,GBP,0,0,0,0,0,0,0
MOS,SMART,GBP,0,0,0,0,0,0,0
VOD,SMART,GBP,0,0,0,0,0,0,0
HEMO,SMART,GBP,0,0,0,0,0,0,0
RR.,SMART,GBP,0,0,0,0,0,0,0
BARC,SMART,GBP,0,0,0,0,0,0,0
MDZ,SMART,GBP,0,0,0,0,0,0,0
BP.,SMART,GBP,0,0,0,0,0,0,0
THR,SMART,GBP,0,0,0,0,0,0,0
RDGC,SMART,GBP,0,0,0,0,0,0,0
ZPHR,SMART,GBP,0,0,0,0,0,0,0
GGP,SMART,GBP,0,0,0,0,0,0,0
GLEN,SMART,GBP,0,0,0,0,0,0,0
SPC,SMART,GBP,0,0,0,0,0,0,0
HE1,SMART,GBP,0,0,0,0,0,0,0
88E,SMART,GBP,0,0,0,0,0,0,0
MSYS,SMART,GBP,0,0,0,0,0,0,0
NFX,SMART,GBP,0,0,0,0,0,0,0
IAG,SMART,GBP,0,0,0,0,0,0,0
AVCT,SMART,GBP,0,0,0,0,0,0,0
BZT,SMART,GBP,0,0,0,0,0,0,0
PHE,SMART,GBP,0,0,0,0,0,0,0
KRS,SMART,GBP,0,0,0,0,0,0,0
0J35,SMART,GBP,0,0,0,0,0,0,0
PDL,SMART,GBP,0,0,0,0,0,0,0
MNRG,SMART,GBP,0,0,0,0,0,0,0
BT.A,SMART,GBP,0,0,0,0,0,0,0
QBT,SMART,GBP,0,0,0,0,0,0,0
SBRY,SMART,GBP,0,0,0,0,0,0,0
TSCO,SMART,GBP,0,0,0,0,0,0,0
CCZ,SMART,GBP,0,0,0,0,0,0,0
ALBA,SMART,GBP,0,0,0,0,0,0,0
DEV,SMART,GBP,0,0,0,0,0,0,0
CORO,SMART,GBP,0,0,0,0,0,0,0
HBR,SMART,GBP,0,0,0,0,0,0,0
UFO,SMART,GBP,0,0,0,0,0,0,0
TYM,SMART,GBP,0,0,0,0,0,0,0
CPI,SMART,GBP,0,0,0,0,0,0,0
VLS,SMART,GBP,0,0,0,0,0,0,0
HSBA,SMART,GBP,0,0,0,0,0,0,0
PATH,SMART,GBP,0,0,0,0,0,0,0
WJA,SMART,GBP,0,0,0,0,0,0,0
INSP,SMART,GBP,0,0,0,0,0,0,0
TOM,SMART,GBP,0,0,0,0,0,0,0
VEC,SMART,GBP,0,0,0,0,0,0,0
IRON,SMART,GBP,0,0,0,0,0,0,0
MXC,SMART,GBP,0,0,0,0,0,0,0
ECHO,SMART,GBP,0,0,0,0,0,0,0
MKS,SMART,GBP,0,0,0,0,0,0,0
CNA,SMART,GBP,0,0,0,0,0,0,0
TLW,SMART,GBP,0,0,0,0,0,0,0
HUR,SMART,GBP,0,0,0,0,0,0,0
NTOG,SMART,GBP,0,0,0,0,0,0,0
BLU,SMART,GBP,0,0,0,0,0,0,0
ARB,SMART,GBP,0,0,0,0,0,0,0
0KK7,SMART,GBP,0,0,0,0,0,0,0
0H6I,SMART,GBP,0,0,0,0,0,0,0
LGEN,SMART,GBP,0,0,0,0,0,0,0
POW,SMART,GBP,0,0,0,0,0,0,0
KEFI,SMART,GBP,0,0,0,0,0,0,0
ALGW,SMART,GBP,0,0,0,0,0,0,0
TRX,SMART,GBP,0,0,0,0,0,0,0
SEE,SMART,GBP,0,0,0,0,0,0,0
