Symbol,Exchange,Currency,Trades Found,Take Profit,Profit,StopLoss,Loss,Wins,%
PCRD,SMART,GBP,12,0,12,0,0,12,100
IKA,SMART,GBP,7,0,7,0,0,7,100
PHE,SMART,GBP,6,1,5,0,0,6,100
UKOG,SMART,GBP,6,0,6,0,0,6,100
ELTA,SMART,GBP,9,2,6,0,1,8,88.89
FLTR,SMART,GBP,9,1,7,0,1,8,88.89
SCP,SMART,GBP,8,1,6,0,1,7,87.5
ADT1,SMART,GBP,7,2,4,0,1,6,85.71
EKF,SMART,GBP,7,2,4,1,0,6,85.71
SMWH,SMART,GBP,7,2,4,1,0,6,85.71
GPOR,SMART,GBP,7,1,5,1,0,6,85.71
ULS,SMART,GBP,13,1,10,2,0,11,84.62
NGSP,SMART,GBP,13,0,11,1,1,11,84.62
AIR,SMART,GBP,6,3,2,1,0,5,83.33
APH,SMART,GBP,6,2,3,0,1,5,83.33
MAB1,SMART,GBP,6,2,3,0,1,5,83.33
AHT,SMART,GBP,6,1,4,0,1,5,83.33
MYI,SMART,GBP,6,1,4,0,1,5,83.33
THRG,SMART,GBP,6,1,4,0,1,5,83.33
AUTO,SMART,GBP,6,1,4,1,0,5,83.33
BVS,SMART,GBP,6,1,4,1,0,5,83.33
HAT,SMART,GBP,6,1,4,1,0,5,83.33
JMF,SMART,GBP,6,0,5,0,1,5,83.33
FOUR,SMART,GBP,6,0,5,0,1,5,83.33
TRMR,SMART,GBP,17,2,12,0,3,14,82.35
SL.,SMART,GBP,17,1,13,0,3,14,82.35
RIV,SMART,GBP,10,1,7,1,1,8,80
BIOG,SMART,GBP,10,0,8,1,1,8,80
HUM,SMART,GBP,10,0,8,2,0,8,80
VRS,SMART,GBP,9,0,7,1,1,7,77.78
CAR,SMART,GBP,13,4,6,1,2,10,76.92
LTG,SMART,GBP,13,3,7,2,1,10,76.92
IWG,SMART,GBP,13,2,8,1,2,10,76.92
CEY,SMART,GBP,16,4,8,4,0,12,75
XSG,SMART,GBP,12,7,2,3,0,9,75
GLEN,SMART,GBP,12,3,6,2,1,9,75
DRX,SMART,GBP,12,1,8,1,2,9,75
MIDW,SMART,GBP,8,3,3,2,0,6,75
FSJ,SMART,GBP,8,1,5,2,0,6,75
SHRS,SMART,GBP,8,0,6,0,2,6,75
ITM,SMART,GBP,11,4,4,3,0,8,72.73
PHI,SMART,GBP,11,1,7,1,2,8,72.73
PMG,SMART,GBP,14,4,6,2,2,10,71.43
AAL,SMART,GBP,7,3,2,1,1,5,71.43
STU,SMART,GBP,7,3,2,1,1,5,71.43
MONY,SMART,GBP,7,2,3,1,1,5,71.43
BRWM,SMART,GBP,7,2,3,1,1,5,71.43
RE.,SMART,GBP,7,1,4,0,2,5,71.43
DOTD,SMART,GBP,7,1,4,0,2,5,71.43
STJ,SMART,GBP,7,1,4,1,1,5,71.43
VLX,SMART,GBP,7,1,4,2,0,5,71.43
HSBA,SMART,GBP,7,0,5,0,2,5,71.43
LGEN,SMART,GBP,7,0,5,0,2,5,71.43
ANTO,SMART,GBP,20,4,10,2,4,14,70
CTO,SMART,GBP,10,1,6,1,2,7,70
BMN,SMART,GBP,10,1,6,1,2,7,70
XSD2,SMART,GBP,10,0,7,0,3,7,70
DPEU,SMART,GBP,13,4,5,2,2,9,69.23
RBS,SMART,GBP,13,4,5,3,1,9,69.23
FLO,SMART,GBP,12,1,7,4,0,8,66.67
SMT,SMART,GBP,9,2,4,0,3,6,66.67
HAS,SMART,GBP,9,2,4,1,2,6,66.67
RCN,SMART,GBP,9,2,4,2,1,6,66.67
JUSC,SMART,GBP,9,0,6,1,2,6,66.67
888,SMART,GBP,9,0,6,2,1,6,66.67
SLI,SMART,GBP,6,3,1,1,1,4,66.67
IBT,SMART,GBP,6,2,2,2,0,4,66.67
BEG,SMART,GBP,6,1,3,1,1,4,66.67
GHH,SMART,GBP,6,1,3,1,1,4,66.67
III,SMART,GBP,6,0,4,0,2,4,66.67
PZC,SMART,GBP,6,0,4,0,2,4,66.67
XSPR,SMART,GBP,6,0,4,0,2,4,66.67
PHNX,SMART,GBP,6,0,4,0,2,4,66.67
DGOC,SMART,GBP,6,0,4,1,1,4,66.67
