Symbol,Exchange,Currency,OPGs Found,Take Profit,Profit,StopLoss,Loss,Wins,%
PLUG,SMART,USD,9,9,0,0,0,9,100
OKTA,SMART,USD,9,9,0,0,0,9,100
LTHM,SMART,USD,8,8,0,0,0,8,100
NIO,SMART,USD,8,8,0,0,0,8,100
BYND,SMART,USD,8,8,0,0,0,8,100
FVRR,SMART,USD,8,8,0,0,0,8,100
ROKU,SMART,USD,8,8,0,0,0,8,100
MRVL,SMART,USD,7,7,0,0,0,7,100
JNCE,SMART,USD,6,6,0,0,0,6,100
FBRX,SMART,USD,6,6,0,0,0,6,100
KTOS,SMART,USD,6,6,0,0,0,6,100
OLLI,SMART,USD,6,6,0,0,0,6,100
CRWD,SMART,USD,6,6,0,0,0,6,100
MELI,SMART,USD,6,6,0,0,0,6,100
BIDU,SMART,USD,5,5,0,0,0,5,100
APHA,SMART,USD,5,5,0,0,0,5,100
HUM,SMART,USD,4,4,0,0,0,4,100
SQM,SMART,USD,4,4,0,0,0,4,100
CRS,SMART,USD,4,4,0,0,0,4,100
HP,SMART,USD,4,4,0,0,0,4,100
DELL,SMART,USD,4,4,0,0,0,4,100
EGHT,SMART,USD,4,4,0,0,0,4,100
ALB,SMART,USD,3,3,0,0,0,3,100
SSO,SMART,USD,3,3,0,0,0,3,100
AMZN,SMART,USD,3,3,0,0,0,3,100
MPWR,SMART,USD,3,3,0,0,0,3,100
AAPL,SMART,USD,2,2,0,0,0,2,100
TKR,SMART,USD,2,2,0,0,0,2,100
MSFT,SMART,USD,2,2,0,0,0,2,100
KO,SMART,USD,2,2,0,0,0,2,100
TBT,SMART,USD,2,2,0,0,0,2,100
UNH,SMART,USD,1,1,0,0,0,1,100
NEM,SMART,USD,1,1,0,0,0,1,100
HRC,SMART,USD,1,1,0,0,0,1,100
PAYS,SMART,USD,1,1,0,0,0,1,100
VRTX,SMART,USD,1,1,0,0,0,1,100
AAN,SMART,USD,1,1,0,0,0,1,100
COF,SMART,USD,1,1,0,0,0,1,100
BJ,SMART,USD,7,6,0,1,0,6,85.71428571
MTZ,SMART,USD,6,5,0,1,0,5,83.33333333
DE,SMART,USD,6,5,0,1,0,5,83.33333333
DAL,SMART,USD,6,5,0,1,0,5,83.33333333
HLF,SMART,USD,5,4,0,1,0,4,80
XLE,SMART,USD,5,4,0,1,0,4,80
AMD,SMART,USD,5,4,0,1,0,4,80
TDOC,SMART,USD,5,4,0,1,0,4,80
MMP,SMART,USD,5,4,0,1,0,4,80
CINF,SMART,USD,5,4,0,1,0,4,80
GLL,SMART,USD,4,3,0,1,0,3,75
SLV,SMART,USD,4,3,0,1,0,3,75
FFIV,SMART,USD,7,5,0,2,0,5,71.42857143
MITK,SMART,USD,7,5,0,2,0,5,71.42857143
CAT,SMART,USD,6,4,0,2,0,4,66.66666667
MU,SMART,USD,3,2,0,1,0,2,66.66666667
DIS,SMART,USD,3,2,0,1,0,2,66.66666667
PNC,SMART,USD,3,2,0,1,0,2,66.66666667
OMC,SMART,USD,3,2,0,1,0,2,66.66666667
MRK,SMART,USD,5,3,0,2,0,3,60
BP,SMART,USD,7,4,0,3,0,4,57.14285714
NKE,SMART,USD,9,5,0,4,0,5,55.55555556
CVS,SMART,USD,6,3,0,3,0,3,50
TREE,SMART,USD,6,3,0,3,0,3,50
JPM,SMART,USD,4,2,0,2,0,2,50
UPS,SMART,USD,4,2,0,2,0,2,50
PGR,SMART,USD,4,2,0,2,0,2,50
WMT,SMART,USD,4,2,0,2,0,2,50
BA,SMART,USD,4,2,0,2,0,2,50
KNSL,SMART,USD,2,1,0,1,0,1,50
PG,SMART,USD,2,1,0,1,0,1,50
CSX,SMART,USD,2,1,0,1,0,1,50
BXP,SMART,USD,2,1,0,1,0,1,50
GILD,SMART,USD,2,1,0,1,0,1,50
USO,SMART,USD,5,2,0,3,0,2,40
INTC,SMART,USD,6,2,0,4,0,2,33.33333333
ACM,SMART,USD,6,2,0,4,0,2,33.33333333
COST,SMART,USD,6,2,0,4,0,2,33.33333333
FMC,SMART,USD,3,1,0,2,0,1,33.33333333
PFGC,SMART,USD,3,1,0,2,0,1,33.33333333
PAYC,SMART,USD,3,1,0,2,0,1,33.33333333
DLTR,SMART,USD,7,2,0,5,0,2,28.57142857
DVA,SMART,USD,4,1,0,3,0,1,25
PEP,SMART,USD,3,0,0,3,0,0,0
AXP,SMART,USD,1,0,0,1,0,0,0
KMB,SMART,USD,0,0,0,0,0,0,0
AI,SMART,USD,0,0,0,0,0,0,0
KMB,SMART,USD,0,0,0,0,0,0,0
