Financial Instrument,Volume ($),Average Volume,Last,Sector,Volume/Min,Average Volume ($),Industry,Category,
GME,9173342800.00,38906100.00,99.50,"Consumer, Cyclical",,3871156950.00,Retail,Retail-Misc/Diversified,
M,315903690.00,25260700.00,15.30,"Consumer, Cyclical",,386488710.00,Retail,Retail-Regnl Dept Store,
EXPR,36487048.00,23983400.00,2.75,"Consumer, Cyclical",,65951951.00,Retail,Retail-Apparel/Shoe,
BBBY,101616752.00,14117900.00,26.86,"Consumer, Cyclical",,379206794.00,Retail,Retail-Bedding,
CLNE,97929642.00,9644900.0,13.11,"Consumer, Cyclical",,126443674.00,Retail,Retail-Petroleum Prod,
WMT,1840963276.00,8469500.0,130.04,"Consumer, Cyclical",,1101373780.00,Retail,Retail-Discount,
GPS,166990350.00,7528400.0,24.95,"Consumer, Cyclical",,187833580.00,Retail,Retail-Apparel/Shoe,
WBA,452262800.00,7006400.0,47.96,"Consumer, Cyclical",,336026944.00,Retail,Retail-Drug Store,
TJX,662034736.00,6937700.0,66.44,"Consumer, Cyclical",,460940788.00,Retail,Retail-Major Dept Store,
LOTZ,36211720.00,6606300.0,8.99,"Consumer, Cyclical",,59390637.00,Retail,Retail-Automobile,
SBUX,1633381200.00,6003300.0,108.00,"Consumer, Cyclical",,648356400.00,Retail,Retail-Restaurants,
MIK,58311495.00,5518600.0,14.85,"Consumer, Cyclical",,81951210.00,Retail,Retail-Arts&Crafts,
JWN,98995300.00,5288500.0,36.50,"Consumer, Cyclical",,193030250.00,Retail,Retail-Major Dept Store,
VUZI,121384254.00,5116200.0,19.29,"Consumer, Cyclical",,98691498.00,Retail,Retail-Vision Serv Cntr,
KSS,210335512.00,4996500.0,55.27,"Consumer, Cyclical",,276156555.00,Retail,Retail-Regnl Dept Store,
WOOF,42220596.00,4947500.0,20.18,"Consumer, Cyclical",,99840550.00,Retail,Retail-Pet Food&Supplies,
AEO,91669440.00,4678600.0,26.24,"Consumer, Cyclical",,122766464.00,Retail,Retail-Apparel/Shoe,
LOW,964080048.00,4470100.0,159.87,"Consumer, Cyclical",,714634887.00,Retail,Retail-Building Products,
LB,301241080.00,4313200.0,54.80,"Consumer, Cyclical",,236363360.00,Retail,Retail-Apparel/Shoe,
RAD,44768250.00,4279900.0,19.70,"Consumer, Cyclical",,84314030.00,Retail,Retail-Drug Store,
QRTEA,86328940.00,4041900.0,12.55,"Consumer, Cyclical",,50725845.00,Retail,Retail-Catalog Shopping,
PRTY,14240736.00,3754000.0,7.53,"Consumer, Cyclical",,28267620.00,Retail,Retail-Misc/Diversified,
WTRH,8140275.0,3688700.0,3.25,"Consumer, Cyclical",,11988275.00,Retail,Retail-Restaurants,
KXIN,8668470.0,3584600.0,3.45,"Consumer, Cyclical",,12366870.00,Retail,Retail-Automobile,
TGT,796011020.00,3562900.0,183.40,"Consumer, Cyclical",,653435860.00,Retail,Retail-Discount,
BBY,458371000.00,3038700.0,100.30,"Consumer, Cyclical",,304781610.00,Retail,Retail-Consumer Electron,
GRWG,102695000.00,2997100.0,46.00,"Consumer, Cyclical",,137866600.00,Retail,Retail-Gardening Prod,
VRM,79535400.00,2867900.0,43.50,"Consumer, Cyclical",,124753650.00,Retail,Retail-Automobile,
CHS,6266780.0,2738000.0,2.60,"Consumer, Cyclical",,7118800.0,Retail,Retail-Apparel/Shoe,
DOGZ,1507572.0,2574400.0,1.98,"Consumer, Cyclical",,5097312.0,Retail,Retail-Pet Food&Supplies,
HOME,36764270.00,2375600.0,25.15,"Consumer, Cyclical",,59746340.00,Retail,Retail-Building Products,
WEN,59363020.00,2374100.0,20.60,"Consumer, Cyclical",,48906460.00,Retail,Retail-Restaurants,
BJ,80723454.00,2231200.0,40.39,"Consumer, Cyclical",,90118168.00,Retail,Retail-Discount,
