Ticker,Days,OPG Found,Wins,%
VUZI,257,82,74,90%
HBP,257,81,72,89%
WTRH,257,89,78,88%
ASO,102,16,14,88%
BBQ,257,99,86,87%
KXIN,257,109,94,86%
BGI,257,104,89,86%
JILL,257,102,87,85%
MUSA,257,20,17,85%
VRM,183,37,31,84%
RAVE,257,102,86,84%
GOED,146,57,48,84%
LUB,257,85,71,84%
GRIL,257,94,78,83%
JACK,257,53,44,83%
LMPX,257,87,72,83%
LOTZ,55,11,9,82%
DG,257,11,9,82%
KIRK,257,92,75,82%
MOHO,257,88,72,82%
BFI,103,26,21,81%
BBW,257,69,56,81%
GTIM,257,102,83,81%
EXPR,257,96,77,80%
RAD,257,45,36,80%
BIMI,257,74,59,80%
ELA,257,66,53,80%
PZZA,257,28,22,79%
BXC,257,76,60,79%
BIG,257,45,35,78%
CJJD,257,58,45,78%
STKS,257,86,67,78%
DOGZ,257,87,66,76%
EVK,257,91,69,76%
OPRX,257,49,37,76%
RENN,257,106,79,75%
BH,257,60,45,75%
PRTY,257,95,70,74%
EAT,257,69,51,74%
EYE,257,54,40,74%
GRWG,257,106,77,73%
CHS,257,86,63,73%
FRPT,257,45,33,73%
JAX,257,59,43,73%
DENN,257,74,53,72%
ODP,257,50,36,72%
HZO,257,60,43,72%
ASPN,257,57,41,72%
MOV,257,53,38,72%
TSCO,257,21,15,71%
PETS,257,28,20,71%
LAZY,257,83,59,71%
CNXN,257,31,22,71%
MIK,257,80,56,70%
SPWH,257,43,30,70%
ARKR,257,88,62,70%
CLNE,257,78,54,69%
BNED,257,77,53,69%
FAT,257,91,63,69%
DKS,257,59,40,68%
CONN,257,63,43,68%
SCVL,257,65,44,68%
FRGI,257,57,39,68%
WMT,257,15,10,67%
SFT,190,33,22,67%
BGFV,257,83,56,67%
RUTH,257,83,56,67%
WING,257,33,22,67%
VRA,257,67,45,67%
GAIA,257,36,24,67%
KRUS,257,63,42,67%
TANNI,257,21,14,67%
BLMN,257,71,47,66%
LL,257,59,39,66%
BJ,257,26,17,65%
PLAY,257,80,52,65%
TACO,257,57,37,65%
LOCO,257,43,28,65%
QRTEA,257,42,27,64%
HOME,257,75,48,64%
PLCE,257,88,56,64%
RRGB,257,89,57,64%
DIN,257,70,45,64%
SPH,257,36,23,64%
NDLS,257,64,41,64%
BBBY,257,75,47,63%
JWN,257,70,44,63%
KSS,257,75,47,63%
TXRH,257,51,32,63%
RGS,257,75,47,63%
ZUMZ,257,54,34,63%
CHUY,257,65,41,63%
CRMT,257,54,34,63%
DDS,257,74,46,62%
ARKO,93,8,5,62%
QVCD,257,24,15,62%
M,257,64,39,61%
LB,257,69,42,61%
TGT,257,18,11,61%
SIG,257,79,48,61%
CAKE,257,71,43,61%
TAST,257,70,43,61%
BSET,257,66,40,61%
WINA,257,41,25,61%
DRI,257,55,33,60%
TCS,257,70,42,60%
HIBB,257,58,35,60%
INT,257,70,42,60%
OLLI,257,41,24,59%
CAL,257,78,46,59%
CBRL,257,59,35,59%
QVCC,257,17,10,59%
WEN,257,43,25,58%
SBH,257,74,43,58%
BOOT,257,72,42,58%
NUS,257,31,18,58%
DLTH,257,45,26,58%
PBPB,257,53,31,58%
AEO,257,65,37,57%
DBI,257,88,50,57%
ANF,257,63,36,57%
MNSO,93,21,12,57%
BKE,257,54,31,57%
GMS,257,67,38,57%
WBA,257,32,18,56%
ARCO,257,50,28,56%
MSM,257,32,18,56%
BJRI,257,75,42,56%
GCO,257,85,48,56%
TANNL,257,25,14,56%
TANNZ,257,20,11,55%
FL,257,68,37,54%
AAP,257,39,21,54%
SHAK,257,52,28,54%
SAH,257,70,38,54%
TLYS,257,59,32,54%
WSM,257,45,24,53%
GES,257,74,39,53%
HVT,257,45,24,53%
GPI,257,72,38,53%
PSMT,257,30,16,53%
GPS,257,71,37,52%
DLTR,257,21,11,52%
QSR,257,42,22,52%
FIVE,257,46,24,52%
CTRN,257,54,28,52%
DDT,257,25,13,52%
BBY,257,45,23,51%
BECN,257,67,34,51%
TA,257,55,28,51%
RUSHB,257,74,38,51%
LOW,257,38,19,50%
AN,257,52,26,50%
RUSHA,257,42,21,50%
CATO,257,45,22,49%
YUM,257,31,15,48%
FND,257,52,25,48%
LZB,257,54,26,48%
PAG,257,56,27,48%
BWMX,257,52,25,48%
YUMC,257,32,15,47%
KMX,257,45,21,47%
TJX,257,45,20,44%
ABG,257,62,27,44%
SBUX,257,38,16,42%
GPC,257,33,14,42%
FATBP,159,43,18,42%
BDL,257,85,36,42%
FCFS,257,39,16,41%
WOOF,31,5,2,40%
ROST,257,42,17,40%
QRTEB,257,89,35,39%
QRTEP,115,0,0,0%
