Symbol,Exchange,Currency,Trades Found,Take Profit,Profit,StopLoss,Loss,Wins,%
TMX,SMART,USD,5,2,3,0,0,5,100
MSGS,SMART,USD,4,3,1,0,0,4,100
LHX,SMART,USD,4,1,3,0,0,4,100
TRP,SMART,USD,4,1,3,0,0,4,100
FDX,SMART,USD,3,3,0,0,0,3,100
HEI,SMART,USD,3,2,1,0,0,3,100
NCMI,SMART,USD,3,2,1,0,0,3,100
SQ,SMART,USD,3,2,1,0,0,3,100
URBN,SMART,USD,3,1,2,0,0,3,100
LLNW,SMART,USD,3,1,2,0,0,3,100
VNOM,SMART,USD,3,1,2,0,0,3,100
MGRC,SMART,USD,3,1,2,0,0,3,100
CBT,SMART,USD,3,1,2,0,0,3,100
ZS,SMART,USD,3,1,2,0,0,3,100
HII,SMART,USD,3,1,2,0,0,3,100
SATS,SMART,USD,3,1,2,0,0,3,100
FOE,SMART,USD,3,1,2,0,0,3,100
PAYS,SMART,USD,3,1,2,0,0,3,100
ZLAB,SMART,USD,3,1,2,0,0,3,100
RBBN,SMART,USD,3,0,3,0,0,3,100
KOS,SMART,USD,3,0,3,0,0,3,100
SU,SMART,USD,3,0,3,0,0,3,100
BURL,SMART,USD,3,0,3,0,0,3,100
POR,SMART,USD,3,0,3,0,0,3,100
FDS,SMART,USD,3,0,3,0,0,3,100
ADI,SMART,USD,3,0,3,0,0,3,100
STT,SMART,USD,2,2,0,0,0,2,100
SLDB,SMART,USD,2,2,0,0,0,2,100
ITW,SMART,USD,2,2,0,0,0,2,100
INMD,SMART,USD,2,2,0,0,0,2,100
TMUS,SMART,USD,2,2,0,0,0,2,100
RVP,SMART,USD,2,2,0,0,0,2,100
TITN,SMART,USD,2,1,1,0,0,2,100
CGNX,SMART,USD,2,1,1,0,0,2,100
CQP,SMART,USD,2,1,1,0,0,2,100
SAIA,SMART,USD,2,1,1,0,0,2,100
WSFS,SMART,USD,2,1,1,0,0,2,100
CNNE,SMART,USD,2,1,1,0,0,2,100
IGC,SMART,USD,2,1,1,0,0,2,100
AAPL,SMART,USD,2,1,1,0,0,2,100
ROKU,SMART,USD,2,1,1,0,0,2,100
PPL,SMART,USD,2,1,1,0,0,2,100
TEAM,SMART,USD,2,1,1,0,0,2,100
SLAB,SMART,USD,2,1,1,0,0,2,100
TXN,SMART,USD,2,1,1,0,0,2,100
STE,SMART,USD,2,1,1,0,0,2,100
TTOO,SMART,USD,2,1,1,0,0,2,100
COP,SMART,USD,2,1,1,0,0,2,100
QLYS,SMART,USD,2,1,1,0,0,2,100
FUN,SMART,USD,2,1,1,0,0,2,100
LGF A,SMART,USD,2,1,1,0,0,2,100
ETR,SMART,USD,2,1,1,0,0,2,100
HYRE,SMART,USD,2,1,1,0,0,2,100
HPE,SMART,USD,2,1,1,0,0,2,100
MGNX,SMART,USD,2,1,1,0,0,2,100
AYX,SMART,USD,2,1,1,0,0,2,100
REZI,SMART,USD,2,1,1,0,0,2,100
FIVN,SMART,USD,2,1,1,0,0,2,100
GPN,SMART,USD,2,1,1,0,0,2,100
LAC,SMART,USD,2,1,1,0,0,2,100
TRU,SMART,USD,2,1,1,0,0,2,100
PGNY,SMART,USD,2,1,1,0,0,2,100
ADSK,SMART,USD,2,1,1,0,0,2,100
SYK,SMART,USD,2,1,1,0,0,2,100
QRVO,SMART,USD,2,1,1,0,0,2,100
DDD,SMART,USD,2,1,1,0,0,2,100
YETI,SMART,USD,2,1,1,0,0,2,100
PLX,SMART,USD,2,1,1,0,0,2,100
STLD,SMART,USD,2,1,1,0,0,2,100
NXST,SMART,USD,2,1,1,0,0,2,100
YELP,SMART,USD,2,1,1,0,0,2,100
NNOX,SMART,USD,2,1,1,0,0,2,100
CERT,SMART,USD,2,1,1,0,0,2,100
TYL,SMART,USD,2,0,2,0,0,2,100
LGND,SMART,USD,2,0,2,0,0,2,100
BNTC,SMART,USD,2,0,2,0,0,2,100
TK,SMART,USD,2,0,2,0,0,2,100
CNI,SMART,USD,2,0,2,0,0,2,100
SESN,SMART,USD,2,0,2,0,0,2,100
SIG,SMART,USD,2,0,2,0,0,2,100
CAL,SMART,USD,2,0,2,0,0,2,100
GPRO,SMART,USD,2,0,2,0,0,2,100
SWCH,SMART,USD,2,0,2,0,0,2,100
RACE,SMART,USD,2,0,2,0,0,2,100
SXC,SMART,USD,2,0,2,0,0,2,100
AMPY,SMART,USD,2,0,2,0,0,2,100
PANL,SMART,USD,2,0,2,0,0,2,100
VIAV,SMART,USD,2,0,2,0,0,2,100
CBRE,SMART,USD,2,0,2,0,0,2,100
CSL,SMART,USD,2,0,2,0,0,2,100
CHDN,SMART,USD,2,0,2,0,0,2,100
ENDP,SMART,USD,2,0,2,0,0,2,100
EXPE,SMART,USD,2,0,2,0,0,2,100
CWEN A,SMART,USD,2,0,2,0,0,2,100
CG,SMART,USD,2,0,2,0,0,2,100
CTLT,SMART,USD,2,0,2,0,0,2,100
AEE,SMART,USD,2,0,2,0,0,2,100
BPMC,SMART,USD,2,0,2,0,0,2,100
PTGX,SMART,USD,2,0,2,0,0,2,100
CFFN,SMART,USD,2,0,2,0,0,2,100
ECHO,SMART,USD,2,0,2,0,0,2,100
IEX,SMART,USD,2,0,2,0,0,2,100
SM,SMART,USD,2,0,2,0,0,2,100
JAN,SMART,USD,2,0,2,0,0,2,100
TACO,SMART,USD,2,0,2,0,0,2,100
PLUS,SMART,USD,2,0,2,0,0,2,100
WDC,SMART,USD,2,0,2,0,0,2,100
NUAN,SMART,USD,2,0,2,0,0,2,100
SWAV,SMART,USD,2,0,2,0,0,2,100
HWC,SMART,USD,2,0,2,0,0,2,100
EXK,SMART,USD,2,0,2,0,0,2,100
CTXS,SMART,USD,2,0,2,0,0,2,100
DAC,SMART,USD,2,0,2,0,0,2,100
VISL,SMART,USD,1,1,0,0,0,1,100
PME,SMART,USD,1,1,0,0,0,1,100
ONTX,SMART,USD,1,1,0,0,0,1,100
XELA,SMART,USD,1,1,0,0,0,1,100
BXP,SMART,USD,1,1,0,0,0,1,100
AVEO,SMART,USD,1,1,0,0,0,1,100
TX,SMART,USD,1,1,0,0,0,1,100
TXT,SMART,USD,1,1,0,0,0,1,100
FTNT,SMART,USD,1,1,0,0,0,1,100
HTHT,SMART,USD,1,1,0,0,0,1,100
CASI,SMART,USD,1,1,0,0,0,1,100
FFBC,SMART,USD,1,1,0,0,0,1,100
BHLB,SMART,USD,1,1,0,0,0,1,100
BRKL,SMART,USD,1,1,0,0,0,1,100
LBAI,SMART,USD,1,1,0,0,0,1,100
GLYC,SMART,USD,1,1,0,0,0,1,100
CNET,SMART,USD,1,1,0,0,0,1,100
COHR,SMART,USD,1,1,0,0,0,1,100
CSCO,SMART,USD,1,1,0,0,0,1,100
COUP,SMART,USD,1,1,0,0,0,1,100
MT,SMART,USD,1,1,0,0,0,1,100
XNCR,SMART,USD,1,1,0,0,0,1,100
SPPI,SMART,USD,1,1,0,0,0,1,100
DRQ,SMART,USD,1,1,0,0,0,1,100
