Symbol,Exchange,Currency,OPGs Found,Take Profit,Profit,StopLoss,Loss,Wins,%
VEC,SMART,GBP,4,3,1,0,0,4,100
OCDO,SMART,GBP,3,1,2,0,0,3,100
CTEC,SMART,GBP,3,1,2,0,0,3,100
ULVR,SMART,GBP,2,1,1,0,0,2,100
RWS,SMART,GBP,2,1,1,0,0,2,100
ABC,SMART,GBP,2,1,1,0,0,2,100
REL,SMART,GBP,1,1,0,0,0,1,100
GSK,SMART,GBP,1,0,1,0,0,1,100
SBRY,SMART,GBP,1,0,1,0,0,1,100
PFD,SMART,GBP,6,4,1,1,0,5,83.33333333
RTO,SMART,GBP,5,4,0,0,1,4,80
NCYT,SMART,GBP,8,4,2,0,2,6,75
JSG,SMART,GBP,11,8,0,1,2,8,72.72727273
HYVE,SMART,GBP,19,13,0,5,1,13,68.42105263
DDDD,SMART,GBP,21,14,0,3,4,14,66.66666667
MKS,SMART,GBP,6,3,1,0,2,4,66.66666667
AZN,SMART,GBP,3,2,0,0,1,2,66.66666667
BATS,SMART,GBP,3,0,2,0,1,2,66.66666667
MARS,SMART,GBP,16,10,0,6,0,10,62.5
SN.,SMART,GBP,6,3,0,0,3,3,50
ABF,SMART,GBP,4,2,0,0,2,2,50
IMB,SMART,GBP,4,1,1,0,2,2,50
APH,SMART,GBP,2,1,0,0,1,1,50
QQ.,SMART,GBP,2,1,0,0,1,1,50
DGE,SMART,GBP,2,1,0,0,1,1,50
TSCO,SMART,GBP,2,0,1,0,1,1,50
GFS,SMART,GBP,7,1,2,0,4,3,42.85714286
BVC,SMART,GBP,17,6,1,2,8,7,41.17647059
XPS,SMART,GBP,9,3,0,0,6,3,33.33333333
IWG,SMART,GBP,6,2,0,2,2,2,33.33333333
EXPN,SMART,GBP,3,0,1,1,1,1,33.33333333
AHT,SMART,GBP,7,1,1,0,5,2,28.57142857
HAS,SMART,GBP,7,1,1,0,5,2,28.57142857
SSPG,SMART,GBP,9,2,0,3,4,2,22.22222222
AVCT,SMART,GBP,5,0,0,0,5,0,0
GNC,SMART,GBP,2,0,0,0,2,0,0
BAB,SMART,GBP,1,0,0,0,1,0,0
CCR,SMART,GBP,1,0,0,0,1,0,0
TATE,SMART,GBP,1,0,0,0,1,0,0
MRW,SMART,GBP,0,0,0,0,0,0,0
GDR,SMART,GBP,0,0,0,0,0,0,0
INDV,SMART,GBP,0,0,0,0,0,0,0
RB.,SMART,GBP,0,0,0,0,0,0,0
AGK,SMART,GBP,0,0,0,0,0,0,0
UDG,SMART,GBP,0,0,0,0,0,0,0
BVIC,SMART,GBP,0,0,0,0,0,0,0
PAGE,SMART,GBP,0,0,0,0,0,0,0
DLAR,SMART,GBP,0,0,0,0,0,0,0
CLG,SMART,GBP,0,0,0,0,0,0,0
NTG,SMART,GBP,0,0,0,0,0,0,0
CCH,SMART,GBP,0,0,0,0,0,0,0
MDC,SMART,GBP,0,0,0,0,0,0,0
STCK,SMART,GBP,0,0,0,0,0,0,0
HIK,SMART,GBP,0,0,0,0,0,0,0
RPS,SMART,GBP,0,0,0,0,0,0,0
KGH,SMART,GBP,0,0,0,0,0,0,0
DVO,SMART,GBP,0,0,0,0,0,0,0
MCB,SMART,GBP,0,0,0,0,0,0,0
TRB,SMART,GBP,0,0,0,0,0,0,0
PZC,SMART,GBP,0,0,0,0,0,0,0
SPI,SMART,GBP,0,0,0,0,0,0,0
CLIN,SMART,GBP,0,0,0,0,0,0,0
GRG,SMART,GBP,0,0,0,0,0,0,0
FEVR,SMART,GBP,0,0,0,0,0,0,0
PRTC,SMART,GBP,0,0,0,0,0,0,0
AMS,SMART,GBP,0,0,0,0,0,0,0
RENE,SMART,GBP,0,0,0,0,0,0,0
ITRK,SMART,GBP,0,0,0,0,0,0,0
