Symbol,Exchange,Currency,OPGs Found,Take Profit,Profit,StopLoss,Loss,Wins,%
GOED,SMART,USD,7,7,0,0,0,7,100.00
LUB,SMART,USD,6,6,0,0,0,6,100.00
BBQ,SMART,USD,5,3,2,0,0,5,100.00
TLYS,SMART,USD,4,4,0,0,0,4,100.00
WINA,SMART,USD,4,3,1,0,0,4,100.00
MIK,SMART,USD,3,3,0,0,0,3,100.00
LMPX,SMART,USD,3,3,0,0,0,3,100.00
OPRX,SMART,USD,2,1,1,0,0,2,100.00
WTRH,SMART,USD,2,2,0,0,0,2,100.00
BH,SMART,USD,2,2,0,0,0,2,100.00
LL,SMART,USD,2,2,0,0,0,2,100.00
HOME,SMART,USD,2,1,1,0,0,2,100.00
ODP,SMART,USD,2,2,0,0,0,2,100.00
BNED,SMART,USD,2,1,1,0,0,2,100.00
QRTEA,SMART,USD,1,1,0,0,0,1,100.00
INT,SMART,USD,1,1,0,0,0,1,100.00
PLCE,SMART,USD,1,1,0,0,0,1,100.00
BBW,SMART,USD,1,1,0,0,0,1,100.00
TANNZ,SMART,USD,1,0,1,0,0,1,100.00
CLNE,SMART,USD,1,1,0,0,0,1,100.00
CHUY,SMART,USD,1,0,1,0,0,1,100.00
HIBB,SMART,USD,1,1,0,0,0,1,100.00
CJJD,SMART,USD,1,1,0,0,0,1,100.00
DRI,SMART,USD,1,0,1,0,0,1,100.00
AEO,SMART,USD,1,0,1,0,0,1,100.00
GMS,SMART,USD,1,0,1,0,0,1,100.00
ELA,SMART,USD,1,1,0,0,0,1,100.00
BIG,SMART,USD,1,1,0,0,0,1,100.00
ASPN,SMART,USD,1,1,0,0,0,1,100.00
NUS,SMART,USD,1,1,0,0,0,1,100.00
GTIM,SMART,USD,11,9,1,1,0,10,90.91
MOHO,SMART,USD,14,11,1,0,2,12,85.71
PRTY,SMART,USD,7,4,2,0,1,6,85.71
MNSO,SMART,USD,7,2,4,0,1,6,85.71
GRIL,SMART,USD,18,14,1,0,3,15,83.33
LAZY,SMART,USD,5,4,0,0,1,4,80.00
KXIN,SMART,USD,23,18,0,1,4,18,78.26
RAVE,SMART,USD,18,13,1,1,3,14,77.78
DOGZ,SMART,USD,17,11,2,0,4,13,76.47
EXPR,SMART,USD,4,3,0,1,0,3,75.00
BXC,SMART,USD,4,3,0,0,1,3,75.00
SIG,SMART,USD,4,2,1,0,1,3,75.00
BGI,SMART,USD,22,16,0,3,3,16,72.73
JILL,SMART,USD,13,9,0,1,3,9,69.23
EVK,SMART,USD,24,16,0,4,4,16,66.67
RENN,SMART,USD,9,5,1,2,1,6,66.67
HBP,SMART,USD,9,6,0,1,2,6,66.67
FAT,SMART,USD,6,3,1,1,1,4,66.67
DBI,SMART,USD,6,3,1,2,0,4,66.67
LB,SMART,USD,6,4,0,0,2,4,66.67
NDLS,SMART,USD,3,2,0,1,0,2,66.67
BSET,SMART,USD,3,2,0,0,1,2,66.67
KRUS,SMART,USD,3,1,1,0,1,2,66.67
EAT,SMART,USD,3,2,0,0,1,2,66.67
ARKR,SMART,USD,5,1,2,1,1,3,60.00
TANNL,SMART,USD,4,0,2,1,1,2,50.00
SCVL,SMART,USD,4,1,1,0,2,2,50.00
SPWH,SMART,USD,2,1,0,0,1,1,50.00
KIRK,SMART,USD,2,1,0,0,1,1,50.00
SAH,SMART,USD,2,1,0,0,1,1,50.00
GAIA,SMART,USD,2,1,0,0,1,1,50.00
OLLI,SMART,USD,2,0,1,0,1,1,50.00
WSM,SMART,USD,2,0,1,0,1,1,50.00
VUZI,SMART,USD,2,1,0,1,0,1,50.00
KSS,SMART,USD,2,1,0,0,1,1,50.00
JAX,SMART,USD,10,4,0,3,3,4,40.00
DDS,SMART,USD,8,2,1,4,1,3,37.50
CHS,SMART,USD,3,1,0,1,1,1,33.33
EYE,SMART,USD,3,1,0,1,1,1,33.33
PBPB,SMART,USD,3,1,0,1,1,1,33.33
STKS,SMART,USD,3,1,0,0,2,1,33.33
BIMI,SMART,USD,3,1,0,1,1,1,33.33
GCO,SMART,USD,4,1,0,1,2,1,25.00
ZUMZ,SMART,USD,2,0,0,1,1,0,0.00
LOCO,SMART,USD,2,0,0,1,1,0,0.00
RGS,SMART,USD,1,0,0,1,0,0,0.00
SBH,SMART,USD,1,0,0,1,0,0,0.00
CONN,SMART,USD,1,0,0,1,0,0,0.00
MOV,SMART,USD,1,0,0,0,1,0,0.00
FRGI,SMART,USD,1,0,0,0,1,0,0.00
TACO,SMART,USD,1,0,0,0,1,0,0.00
CRMT,SMART,USD,1,0,0,0,1,0,0.00
BOOT,SMART,USD,1,0,0,0,1,0,0.00
QVCC,SMART,USD,1,0,0,0,1,0,0.00
SFT,SMART,USD,1,0,0,0,1,0,0.00
CAL,SMART,USD,1,0,0,0,1,0,0.00
SHAK,SMART,USD,1,0,0,0,1,0,0.00
VRA,SMART,USD,1,0,0,0,1,0,0.00
ANF,SMART,USD,1,0,0,1,0,0,0.00
JWN,SMART,USD,1,0,0,0,1,0,0.00
DG,SMART,USD,1,0,0,0,1,0,0.00
ASO,SMART,USD,0,0,0,0,0,0,0.00
MUSA,SMART,USD,0,0,0,0,0,0,0.00
VRM,SMART,USD,0,0,0,0,0,0,0.00
JACK,SMART,USD,0,0,0,0,0,0,0.00
LOTZ,SMART,USD,0,0,0,0,0,0,0.00
BFI,SMART,USD,0,0,0,0,0,0,0.00
RAD,SMART,USD,0,0,0,0,0,0,0.00
PZZA,SMART,USD,0,0,0,0,0,0,0.00
GRWG,SMART,USD,0,0,0,0,0,0,0.00
FRPT,SMART,USD,0,0,0,0,0,0,0.00
DENN,SMART,USD,0,0,0,0,0,0,0.00
HZO,SMART,USD,0,0,0,0,0,0,0.00
TSCO,SMART,USD,0,0,0,0,0,0,0.00
PETS,SMART,USD,0,0,0,0,0,0,0.00
CNXN,SMART,USD,0,0,0,0,0,0,0.00
DKS,SMART,USD,0,0,0,0,0,0,0.00
WMT,SMART,USD,0,0,0,0,0,0,0.00
BGFV,SMART,USD,0,0,0,0,0,0,0.00
RUTH,SMART,USD,0,0,0,0,0,0,0.00
WING,SMART,USD,0,0,0,0,0,0,0.00
TANNI,SMART,USD,0,0,0,0,0,0,0.00
BLMN,SMART,USD,0,0,0,0,0,0,0.00
BJ,SMART,USD,0,0,0,0,0,0,0.00
PLAY,SMART,USD,0,0,0,0,0,0,0.00
RRGB,SMART,USD,0,0,0,0,0,0,0.00
DIN,SMART,USD,0,0,0,0,0,0,0.00
SPH,SMART,USD,0,0,0,0,0,0,0.00
BBBY,SMART,USD,0,0,0,0,0,0,0.00
TXRH,SMART,USD,0,0,0,0,0,0,0.00
ARKO,SMART,USD,0,0,0,0,0,0,0.00
QVCD,SMART,USD,0,0,0,0,0,0,0.00
M,SMART,USD,0,0,0,0,0,0,0.00
TGT,SMART,USD,0,0,0,0,0,0,0.00
CAKE,SMART,USD,0,0,0,0,0,0,0.00
TAST,SMART,USD,0,0,0,0,0,0,0.00
TCS,SMART,USD,0,0,0,0,0,0,0.00
CBRL,SMART,USD,0,0,0,0,0,0,0.00
WEN,SMART,USD,0,0,0,0,0,0,0.00
DLTH,SMART,USD,0,0,0,0,0,0,0.00
BKE,SMART,USD,0,0,0,0,0,0,0.00
WBA,SMART,USD,0,0,0,0,0,0,0.00
ARCO,SMART,USD,0,0,0,0,0,0,0.00
MSM,SMART,USD,0,0,0,0,0,0,0.00
BJRI,SMART,USD,0,0,0,0,0,0,0.00
FL,SMART,USD,0,0,0,0,0,0,0.00
AAP,SMART,USD,0,0,0,0,0,0,0.00
GES,SMART,USD,0,0,0,0,0,0,0.00
HVT,SMART,USD,0,0,0,0,0,0,0.00
GPI,SMART,USD,0,0,0,0,0,0,0.00
PSMT,SMART,USD,0,0,0,0,0,0,0.00
GPS,SMART,USD,0,0,0,0,0,0,0.00
DLTR,SMART,USD,0,0,0,0,0,0,0.00
QSR,SMART,USD,0,0,0,0,0,0,0.00
FIVE,SMART,USD,0,0,0,0,0,0,0.00
CTRN,SMART,USD,0,0,0,0,0,0,0.00
DDT,SMART,USD,0,0,0,0,0,0,0.00
BBY,SMART,USD,0,0,0,0,0,0,0.00
BECN,SMART,USD,0,0,0,0,0,0,0.00
TA,SMART,USD,0,0,0,0,0,0,0.00
RUSHB,SMART,USD,0,0,0,0,0,0,0.00
LOW,SMART,USD,0,0,0,0,0,0,0.00
AN,SMART,USD,0,0,0,0,0,0,0.00
RUSHA,SMART,USD,0,0,0,0,0,0,0.00
CATO,SMART,USD,0,0,0,0,0,0,0.00
YUM,SMART,USD,0,0,0,0,0,0,0.00
FND,SMART,USD,0,0,0,0,0,0,0.00
LZB,SMART,USD,0,0,0,0,0,0,0.00
PAG,SMART,USD,0,0,0,0,0,0,0.00
BWMX,SMART,USD,0,0,0,0,0,0,0.00
YUMC,SMART,USD,0,0,0,0,0,0,0.00
