Symbol,Exchange,Currency,Trades Found,Take Profit,Profit,StopLoss,Loss,Wins,%
PEN,SMART,USD,9,2,7,0,0,9,100
MXL,SMART,USD,8,2,6,0,0,8,100
TXRH,SMART,USD,8,1,7,0,0,8,100
CMD,SMART,USD,7,4,3,0,0,7,100
NOV,SMART,USD,7,2,5,0,0,7,100
CMCSA,SMART,USD,7,2,5,0,0,7,100
CNS,SMART,USD,7,1,6,0,0,7,100
WPM,SMART,USD,7,1,6,0,0,7,100
ENR,SMART,USD,7,0,7,0,0,7,100
DE,SMART,USD,7,0,7,0,0,7,100
ENIC,SMART,USD,6,2,4,0,0,6,100
UHS,SMART,USD,6,2,4,0,0,6,100
SSO,SMART,USD,6,2,4,0,0,6,100
PCAR,SMART,USD,6,1,5,0,0,6,100
SFM,SMART,USD,6,1,5,0,0,6,100
NUVA,SMART,USD,6,1,5,0,0,6,100
TNET,SMART,USD,6,1,5,0,0,6,100
MA,SMART,USD,6,1,5,0,0,6,100
WFC,SMART,USD,5,1,4,0,0,5,100
IT,SMART,USD,5,1,4,0,0,5,100
BLD,SMART,USD,5,1,4,0,0,5,100
AON,SMART,USD,5,1,4,0,0,5,100
GD,SMART,USD,5,1,4,0,0,5,100
GLW,SMART,USD,5,0,5,0,0,5,100
USB,SMART,USD,5,0,5,0,0,5,100
DIS,SMART,USD,5,0,5,0,0,5,100
FTV,SMART,USD,5,0,5,0,0,5,100
MP,SMART,USD,4,4,0,0,0,4,100
HBAN,SMART,USD,4,3,1,0,0,4,100
ARVN,SMART,USD,4,3,1,0,0,4,100
ENV,SMART,USD,4,2,2,0,0,4,100
KMPR,SMART,USD,4,2,2,0,0,4,100
MUFG,SMART,USD,4,2,2,0,0,4,100
EQH,SMART,USD,4,2,2,0,0,4,100
ALSN,SMART,USD,4,2,2,0,0,4,100
DOYU,SMART,USD,4,2,2,0,0,4,100
INMD,SMART,USD,4,2,2,0,0,4,100
AWR,SMART,USD,4,2,2,0,0,4,100
TEL,SMART,USD,4,1,3,0,0,4,100
NWSA,SMART,USD,4,1,3,0,0,4,100
ONB,SMART,USD,4,1,3,0,0,4,100
MET,SMART,USD,4,1,3,0,0,4,100
TER,SMART,USD,4,1,3,0,0,4,100
BERY,SMART,USD,4,1,3,0,0,4,100
GRMN,SMART,USD,4,1,3,0,0,4,100
EHC,SMART,USD,4,1,3,0,0,4,100
UMBF,SMART,USD,4,1,3,0,0,4,100
GTES,SMART,USD,4,1,3,0,0,4,100
JEF,SMART,USD,4,0,4,0,0,4,100
INDB,SMART,USD,4,0,4,0,0,4,100
UCBI,SMART,USD,4,0,4,0,0,4,100
SBNY,SMART,USD,4,0,4,0,0,4,100
INFO,SMART,USD,4,0,4,0,0,4,100
IQV,SMART,USD,4,0,4,0,0,4,100
TRI,SMART,USD,4,0,4,0,0,4,100
SMFG,SMART,USD,4,0,4,0,0,4,100
QCOM,SMART,USD,4,0,4,0,0,4,100
NVS,SMART,USD,4,0,4,0,0,4,100
CTXS,SMART,USD,4,0,4,0,0,4,100
LHCG,SMART,USD,4,0,4,0,0,4,100
NLSN,SMART,USD,4,0,4,0,0,4,100
POST,SMART,USD,4,0,4,0,0,4,100
OMC,SMART,USD,4,0,4,0,0,4,100
ODFL,SMART,USD,4,0,4,0,0,4,100
CHH,SMART,USD,4,0,4,0,0,4,100
JKHY,SMART,USD,4,0,4,0,0,4,100
WU,SMART,USD,4,0,4,0,0,4,100
ROG,SMART,USD,12,1,10,0,1,11,91.67
IEP,SMART,USD,11,5,5,0,1,10,90.91
MMYT,SMART,USD,11,2,8,1,0,10,90.91
AYI,SMART,USD,11,0,10,0,1,10,90.91
AA,SMART,USD,10,2,7,0,1,9,90
RARE,SMART,USD,9,4,4,1,0,8,88.89
MITK,SMART,USD,9,3,5,0,1,8,88.89
AUY,SMART,USD,9,3,5,0,1,8,88.89
CBT,SMART,USD,9,2,6,0,1,8,88.89
STX,SMART,USD,9,2,6,0,1,8,88.89
AAP,SMART,USD,9,2,6,0,1,8,88.89
SGEN,SMART,USD,9,0,8,0,1,8,88.89
NRG,SMART,USD,8,3,4,0,1,7,87.5
HWC,SMART,USD,8,3,4,0,1,7,87.5
WWD,SMART,USD,8,3,4,0,1,7,87.5
HHC,SMART,USD,8,2,5,0,1,7,87.5
AZPN,SMART,USD,8,2,5,0,1,7,87.5
NOK,SMART,USD,8,2,5,1,0,7,87.5
ENS,SMART,USD,8,1,6,0,1,7,87.5
SNX,SMART,USD,8,1,6,0,1,7,87.5
MIC,SMART,USD,8,1,6,1,0,7,87.5
KMT,SMART,USD,8,0,7,0,1,7,87.5
TDC,SMART,USD,8,0,7,0,1,7,87.5
APH,SMART,USD,8,0,7,0,1,7,87.5
DISCB,SMART,USD,15,2,11,0,2,13,86.67
GIL,SMART,USD,7,4,2,0,1,6,85.71
BE,SMART,USD,7,4,2,1,0,6,85.71
TRUP,SMART,USD,7,3,3,0,1,6,85.71
WOR,SMART,USD,7,2,4,0,1,6,85.71
SHLX,SMART,USD,7,2,4,0,1,6,85.71
LYG,SMART,USD,7,2,4,0,1,6,85.71
RUSHA,SMART,USD,7,2,4,1,0,6,85.71
UBS,SMART,USD,7,1,5,0,1,6,85.71
TAC,SMART,USD,7,1,5,0,1,6,85.71
SQM,SMART,USD,7,1,5,0,1,6,85.71
AMKR,SMART,USD,7,1,5,1,0,6,85.71
PRAH,SMART,USD,7,1,5,1,0,6,85.71
NVT,SMART,USD,7,0,6,1,0,6,85.71
CVE,SMART,USD,13,3,8,1,1,11,84.62
TDOC,SMART,USD,12,7,3,1,1,10,83.33
GKOS,SMART,USD,12,5,5,1,1,10,83.33
IBKR,SMART,USD,6,4,1,0,1,5,83.33
CRNC,SMART,USD,6,4,1,0,1,5,83.33
PGNY,SMART,USD,6,4,1,1,0,5,83.33
ZION,SMART,USD,6,3,2,0,1,5,83.33
XLRN,SMART,USD,6,3,2,0,1,5,83.33
GH,SMART,USD,6,3,2,0,1,5,83.33
QLYS,SMART,USD,6,2,3,0,1,5,83.33
TRGP,SMART,USD,6,2,3,0,1,5,83.33
IDXX,SMART,USD,6,2,3,0,1,5,83.33
MTCH,SMART,USD,6,2,3,0,1,5,83.33
WLK,SMART,USD,6,2,3,0,1,5,83.33
TROX,SMART,USD,6,2,3,0,1,5,83.33
FOXA,SMART,USD,6,2,3,0,1,5,83.33
PAAS,SMART,USD,6,2,3,1,0,5,83.33
AMX,SMART,USD,6,2,3,1,0,5,83.33
IPG,SMART,USD,6,1,4,0,1,5,83.33
SYF,SMART,USD,6,1,4,0,1,5,83.33
